pop	prec_clim_change	tmax_clim_change
12.91_57.99	0.13270153318293	0.0834522608005532
12.93_57.97	0.132848326914327	0.0834522608005532
12.94_57.98	0.132848326914327	0.0834522608005532
12.94_57.99	0.132848326914327	0.0834522608005532
12.94_59.64	0.0139454044827194	0.0754519779380819
12.95_57.97	0.132848326914327	0.0834522608005532
12.95_59.63	0.0139454044827194	0.0754519779380819
12.96_57.98	0.129325277360798	0.0827917131227364
12.96_59.63	0.0137986107513224	0.075892359132273
12.97_59.63	0.0137986107513224	0.075892359132273
12.9_57.97	0.13270153318293	0.0834522608005532
12.9_58	0.13270153318293	0.0834522608005532
12.9_58.03	0.130059246017783	0.0818375292811054
13.21_56.69	0.135637407810871	0.0894708318232409
13.22_56.71	0.139013663633003	0.0896910488826838
13.29_56.71	0.139013663633003	0.0891037949580072
13.29_56.73	0.139013663633003	0.0891037949580072
13.2_56.69	0.136077789005062	0.0898378427433756
13.3_56.72	0.139013663633003	0.0882230325696249
13.72_61.3	0.0246613468747038	0.0720757432771709
13.81_61.2	0.0342029394155118	0.0739840406241114
13.81_61.28	0.0270100465770565	0.0726629183751519
13.9_61.22	0.0297991274736004	0.075745565400876
14.06_61.22	0.0239273782177186	0.0709013722647734
14.07_61.26	0.0237805844863215	0.068112311365799
14.15_61.15	0.018936391350219	0.0720023675296139
14.17_61.22	0.0228998220979392	0.0733968656985232
14.2_61.18	0.0187895976188219	0.0731767180703619
15.03_56.35	0.101287674663962	0.0879294451068308
15.04_56.33	0.0995261498871975	0.0873422701812426
15.05_56.28	0.0982050063046241	0.0867550952556544
15.13_56.31	0.100700499738374	0.0858743328672722
15.14_56.31	0.100700499738374	0.0858743328672722
15.17_57.79	0.103929961829109	0.0849201985455058
15.23_57.76	0.106425455262859	0.0843330234475248
15.24_57.74	0.10583828033727	0.0846266358426552
15.25_57.74	0.107746598845432	0.0844063955533017
15.28_57.8	0.104957517948888	0.0830852519707283
15.29_57.81	0.104957517948888	0.0830852519707283
15.31_57.8	0.105691486605873	0.0833788394335224
15.31_57.83	0.105691486605873	0.0833788394335224
15.33_56.22	0.0999665310813886	0.0855809212887376
15.36_56.22	0.0983518000360211	0.0860213033879936
15.36_57.85	0.105544692874476	0.0833788394335224
16.31_64.33	0.0870486827184485	0.0643690890147516
16.37_64.34	0.0902781448091836	0.0652498519203127
16.41_64.35	0.088369826301022	0.064148879454427
16.42_64.42	0.0936544006313156	0.0667177900962477
16.44_64.4	0.0904249385405806	0.0642956732289223
16.45_64.37	0.0888102074952131	0.0638552919054365
16.4_64.34	0.088369826301022	0.064148879454427
16.54_61.79	0.00895441761521983	0.0732500719671262
16.64_61.7	0.0170280728420574	0.0749382438814839
16.67_61.69	0.0195235662758072	0.0756722351866178
16.69_61.77	0.0148261668711017	0.0722225158473468
16.71_61.69	0.0224594409037481	0.0759658006046385
16.73_61.71	0.0209915035897776	0.0730299456941656
16.75_61.72	0.0231934095607333	0.0745712155496996
16.78_61.75	0.0231934095607333	0.0745712155496996
16.79_61.76	0.018936391350219	0.0720757644384106
16.7_64.36	0.0913057009289629	0.0616533852880077
17.75_59.83	0.00278908089654388	0.0841862296730295
17.83_59.82	0.000733968656985232	0.0840394358985343
17.83_59.87	0.0019083185081616	0.0835990545750485
17.98_59.76	0.00205511223955865	0.0849201985455058
17.98_59.81	0.00146793731397046	0.0843330234475248
17.99_59.77	0.00205511223955865	0.0849201985455058
17.99_59.78	0.00205511223955865	0.0849201985455058
18.18_66.36	0.12227917825374	0.0679655375457925
18.57_66.02	0.122572765716534	0.0708279961939612
18.61_66.23	0.125068259150284	0.0683325020275418
18_66.26	0.126095815270063	0.0679655375457925
20.55_63.88	0.110095298547785	0.076185968963038
20.59_63.94	0.110976060936167	0.0763327627375333
20.5_63.87	0.109214536159403	0.0763327627375333
20.61_63.98	0.112443998250138	0.0760391751885428
20.63_63.96	0.111122854667564	0.075598793865057
20.67_63.97	0.112590791981535	0.0754520000905618
20.69_63.97	0.112590791981535	0.0754520000905618
20.71_63.98	0.114939491683887	0.0757455876395523
21.99_65.66	0.143417475574914	0.0698004807589462
21.9_65.67	0.145325794083076	0.0687729237341037
22.12_65.7	0.1441514442319	0.0692133053161791
22.36_65.55	0.135784201542268	0.0697272476027358
22.37_65.56	0.135784201542268	0.0697272476027358
22.39_65.55	0.134609851691092	0.070461218630133
