Taxon_name,Pop_ID,Sample_name,Country,Pool_Size,Lat,Long,Alt,Author,Data_type,
Arabidopsis halleri,Aha,Aha11,Switzerland,40,46.28,10.11,1070,Rellstab,PoolSeq,
Arabidopsis halleri,Aha,Aha31,Switzerland,40,46.34,9.52,1611,Rellstab,PoolSeq,
Arabidopsis halleri,Aha,Aha21,Switzerland,40,46.37,9.63,798,Rellstab,PoolSeq,
Arabidopsis halleri,Aha,Aha09,Switzerland,40,46.37,9.66,1406,Rellstab,PoolSeq,
Arabidopsis halleri,Aha,Aha19,Switzerland,40,46.41,10.02,2307,Rellstab,PoolSeq,
Arabidopsis halleri,Aha,AhaN3,Switzerland,40,46.49926,9.82731,2067,Rellstab,PoolSeq,
Arabidopsis halleri,Aha,Aha18,Switzerland,40,46.415944,8.826056,850,Rellstab,PoolSeq,
Arabidopsis halleri,Aha,AhaN1,Switzerland,40,46.275306,10.10075,985,Rellstab,PoolSeq,
Arabidopsis halleri,Aha,AhaN4,Switzerland,40,46.491139,10.222278,2155,Rellstab,PoolSeq,
