RG_Sample_Code,Customer_Code,pop,species,pheno,lat,long,alt,geno,,Sample_Code
UPU_119901_P003_WG01,BOR_18,BOR,PO,14,61.758,90.049,38,14,,P003_WH04
UPU_119901_P003_WG02,VYA_13,VYA,PO,20,58.36,49.4,160,20,,P003_WH05
UPU_119901_P003_WG03,KAZM_17,KAZM,PO,14,64.696,65.608,7,12,,P003_WH06
UPU_119901_P003_WG04,PUT_9,PUT,PO,4,65.907,65.909,17,4,,P003_WH07
UPU_119901_P003_WG05,PAH_15,PAH,PO,20,54.2,58.5,1300,19,,P003_WH08
UPU_119901_P003_WG06,KM_16,KM,PO,11,61.05,69.253,60,11,,P003_WH09
UPU_119901_P003_WG07,KRA_2,KRA,PO,2,55.985,92.762,217,14,,P003_WH10
UPU_119901_P003_WG08,KRA_10,KRA,PO,2,55.985,92.762,217,14,,P003_WH11
UPU_119901_P003_WG09,ENI_18,ENI,PO,1,58.453,92.2,71,14,,P003_WH12
UPU_119901_P003_WG10,TYR_60,TYR,PO,0,65.79,87.976,15,12,,P004_WA01
UPU_119901_P003_WG11,TYR_71,TYR,PO,0,65.79,87.976,15,12,,P004_WA02
UPU_119901_P003_WH02,BOR_3,BOR,PO,14,61.758,90.049,38,14,,P004_WB01
UPU_119901_P003_WH03,KM_11,KM,PO,11,61.05,69.253,60,11,,P004_WB02
UPU_119901_P003_WH04,OKT_3,OKT,PO,17,62.452,66.087,30,15,,P004_WC01
UPU_119901_P003_WH05,PAH_4,PAH,PO,20,54.2,58.5,1300,19,,P004_WC02
UPU_119901_P003_WH06,PAH_12,PAH,PO,20,54.2,58.5,1300,19,,P004_WD01
UPU_119901_P003_WH07,KRA_3,KRA,PO,2,55.985,92.762,217,14,,P004_WD02
UPU_119901_P003_WH08,KRA_11,KRA,PO,2,55.985,92.762,217,14,,P004_WE01
UPU_119901_P003_WH09,ENI_20,ENI,PO,1,58.453,92.2,71,14,,P004_WF01
UPU_119901_P003_WH10,TYR_61,TYR,PO,0,65.79,87.976,15,12,,P004_WG01
UPU_119901_P003_WH11,TYR_72,TYR,PO,0,65.79,87.976,15,12,,P004_WH01
