SampleID,Latitude,Longitude,Group,Run,SRAStudy
RP121,44.3745,-113.3883,NOR,SRR1801006,SRP054739
RP122,44.8413,-114.2723,WES,SRR1800961,SRP054739
RP115,45.141,-113.4695,WES,SRR1801034,SRP054739
RP118,44.9743,-114.085,NOR,SRR1800918,SRP054739
RP131,38.051,-119.2502,WES,SRR1801012,SRP054739
RP127,43.804,-114.6431,NOR,SRR1800923,SRP054739
RP125,39.684,-105.6071,COL,SRR1800946,SRP054739
RP046,44.366,-115.1435,WES,SRR1800904,SRP054739
RP054,44.5916,-114.4533,NOR,SRR1801010,SRP054739
RP057,38.692,-106.8229,COL,SRR1800909,SRP054739
RP059,44.346,-113.265,NOR,SRR1800933,SRP054739
RP088,42.139,-114.2085,NOR,SRR1801020,SRP054739
RP092,44.912,-114.3866,WES,SRR1800959,SRP054739
RP096,42.581,-110.7396,Admixed,SRR1800974,SRP054739
