sample_name	library_name	pool_name	ploidy	file_name_r1	file_name_r2	adaptor_1	adaptor_2	ref	rgid	rglb	rgpl	rgpu	rgsm
SRR1034312			2	SRR1034312_1.fastq.gz	SRR1034312_2.fastq.gz				Mtruncatula_HM054_SRR1034312		ILLUMINA		Mtruncatula_HM054
SRR1034311			2	SRR1034311_1.fastq.gz	SRR1034311_2.fastq.gz				Mtruncatula_HM086_SRR1034311		ILLUMINA		Mtruncatula_HM086
SRR1034310			2	SRR1034310_1.fastq.gz	SRR1034310_2.fastq.gz				Mtruncatula_HM088_SRR1034310		ILLUMINA		Mtruncatula_HM088
SRR1034309			2	SRR1034309_1.fastq.gz	SRR1034309_2.fastq.gz				Mtruncatula_HM070_SRR1034309		ILLUMINA		Mtruncatula_HM070
SRR1034308			2	SRR1034308_1.fastq.gz	SRR1034308_2.fastq.gz				Mtruncatula_HM053_SRR1034308		ILLUMINA		Mtruncatula_HM053
SRR1034307			2	SRR1034307_1.fastq.gz	SRR1034307_2.fastq.gz				Mtruncatula_HM085_SRR1034307		ILLUMINA		Mtruncatula_HM085
SRR1034306			2	SRR1034306_1.fastq.gz	SRR1034306_2.fastq.gz				Mtruncatula_HM112_SRR1034306		ILLUMINA		Mtruncatula_HM112
SRR1034305			2	SRR1034305_1.fastq.gz	SRR1034305_2.fastq.gz				Mtruncatula_HM061_SRR1034305		ILLUMINA		Mtruncatula_HM061
SRR1034304			2	SRR1034304_1.fastq.gz	SRR1034304_2.fastq.gz				Mtruncatula_HM052_SRR1034304		ILLUMINA		Mtruncatula_HM052
SRR1034303			2	SRR1034303_1.fastq.gz	SRR1034303_2.fastq.gz				Mtruncatula_HM051_SRR1034303		ILLUMINA		Mtruncatula_HM051
SRR1034302			2	SRR1034302_1.fastq.gz	SRR1034302_2.fastq.gz				Mtruncatula_HM043_SRR1034302		ILLUMINA		Mtruncatula_HM043
SRR1034301			2	SRR1034301_1.fastq.gz	SRR1034301_2.fastq.gz				Mtruncatula_HM076_SRR1034301		ILLUMINA		Mtruncatula_HM076
SRR1034300			2	SRR1034300_1.fastq.gz	SRR1034300_2.fastq.gz				Mtruncatula_HM105_SRR1034300		ILLUMINA		Mtruncatula_HM105
