samp	total_reads-before_trimming	total_reads-after_trimming	total_bases-before_trimming	total_bases-after_trimming	q30_bases-before_trimming	q30_bases-after_trimming	q20_bases-before_trimming	q20_bases-after_trimming	mapped_bamfile	dedup_bamfile	realigned_bamfile	trim_command
ERR1760145									170651430			
ERR1760146									160097439			
ERR1760147									177777181			
Aha09										119820854	119820854	
Aha11										139489827	139489827	
Aha18										112658158	112658158	
Aha19										131383288	131383288	
Aha21										109380572	109380572	
Aha31										144152714	144152714	
AhaN1										145761288	145761288	
AhaN3										141597063	141597063	
AhaN4										161594897	161594897	
