"Pop","ID","Lat","Long","Alt"
"PET_01","PET0301",35.1371,-111.64211,2140
"PET_01","PET0302",35.1371,-111.64211,2140
"PET_01","PET0303",35.1371,-111.64211,2140
"PET_01","PET0304",35.1371,-111.64211,2140
"PET_01","PET0305",35.1371,-111.64211,2140
"PET_01","PET0306",35.1371,-111.64211,2140
"PET_01","PET0307",35.1371,-111.64211,2140
"PET_01","PET0308",35.1371,-111.64211,2140
"PET_01","PET0309",35.1371,-111.64211,2140
"PET_01","PET0310",35.1371,-111.64211,2140
"PET_02","PET0311",34.91703,-111.90977,1445
"PET_02","PET0312",34.91703,-111.90977,1445
"PET_02","PET0313",34.91703,-111.90977,1445
"PET_02","PET0314",34.91703,-111.90977,1445
"PET_02","PET0315",34.91703,-111.90977,1445
"PET_02","PET0316",34.91703,-111.90977,1445
"PET_02","PET0317",34.91703,-111.90977,1445
"PET_02","PET0318",34.91703,-111.90977,1445
"PET_02","PET0319",34.91703,-111.90977,1445
"PET_02","PET0320",34.91703,-111.90977,1445
"PET_03","PET0321",35.33119,-111.54146,2075
"PET_03","PET0322",35.33119,-111.54146,2075
"PET_03","PET0323",35.33119,-111.54146,2075
"PET_03","PET0324",35.33119,-111.54146,2075
"PET_03","PET0325",35.33119,-111.54146,2075
"PET_03","PET0326",35.33119,-111.54146,2075
"PET_03","PET0327",35.33119,-111.54146,2075
"PET_03","PET0328",35.33119,-111.54146,2075
"PET_03","PET0329",35.33119,-111.54146,2075
"PET_03","PET0330",35.33119,-111.54146,2075
"PET_04","PET0331",35.39031,-111.57754,2166
"PET_04","PET0332",35.39031,-111.57754,2166
"PET_04","PET0333",35.39031,-111.57754,2166
"PET_04","PET0334",35.39031,-111.57754,2166
"PET_04","PET0335",35.39031,-111.57754,2166
"PET_04","PET0336",35.39031,-111.57754,2166
"PET_04","PET0337",35.39031,-111.57754,2166
"PET_04","PET0338",35.39031,-111.57754,2166
"PET_04","PET0339",35.39031,-111.57754,2166
"PET_04","PET0340",35.39031,-111.57754,2166
"PET_05","PET0341",35.15387,-109.50207,1755
"PET_05","PET0342",35.15387,-109.50207,1755
"PET_05","PET0343",35.15387,-109.50207,1755
"PET_05","PET0344",35.15387,-109.50207,1755
"PET_05","PET0345",35.15387,-109.50207,1755
"PET_05","PET0346",35.15387,-109.50207,1755
"PET_05","PET0347",35.15387,-109.50207,1755
"PET_05","PET0348",35.15387,-109.50207,1755
"PET_05","PET0349",35.15387,-109.50207,1755
"PET_05","PET0350",35.15387,-109.50207,1755
"PET_06","PET0351",35.51651,-105.68484,2110
"PET_06","PET0352",35.51651,-105.68484,2110
"PET_06","PET0353",35.51651,-105.68484,2110
"PET_06","PET0354",35.51651,-105.68484,2110
"PET_06","PET0355",35.51651,-105.68484,2110
"PET_06","PET0356",35.51651,-105.68484,2110
"PET_06","PET0357",35.51651,-105.68484,2110
"PET_06","PET0358",35.51651,-105.68484,2110
"PET_06","PET0359",35.51651,-105.68484,2110
"PET_06","PET0360",35.51651,-105.68484,2110
"PET_07","PET0361",36.49673,-104.57014,1795
"PET_07","PET0362",36.49673,-104.57014,1795
"PET_07","PET0363",36.49673,-104.57014,1795
"PET_07","PET0364",36.49673,-104.57014,1795
"PET_07","PET0365",36.49673,-104.57014,1795
"PET_07","PET0366",36.49673,-104.57014,1795
"PET_07","PET0367",36.49673,-104.57014,1795
"PET_07","PET0368",36.49673,-104.57014,1795
"PET_07","PET0369",36.49673,-104.57014,1795
"PET_07","PET0370",36.49673,-104.57014,1795
"PET_08","PET0371",37.52901,-105.297,2545
"PET_08","PET0372",37.52901,-105.297,2545
"PET_08","PET0373",37.52901,-105.297,2545
"PET_08","PET0374",37.52901,-105.297,2545
"PET_08","PET0375",37.52901,-105.297,2545
"PET_08","PET0376",37.52901,-105.297,2545
"PET_08","PET0377",37.52901,-105.297,2545
"PET_08","PET0378",37.52901,-105.297,2545
"PET_08","PET0379",37.52901,-105.297,2545
"PET_08","PET0380",37.52901,-105.297,2545
"PET_09","PET0381",37.66278,-105.64088,2325
"PET_09","PET0382",37.66278,-105.64088,2325
"PET_09","PET0383",37.66278,-105.64088,2325
"PET_09","PET0384",37.66278,-105.64088,2325
"PET_09","PET0385",37.66278,-105.64088,2325
"PET_09","PET0386",37.66278,-105.64088,2325
"PET_09","PET0387",37.66278,-105.64088,2325
"PET_09","PET0388",37.66278,-105.64088,2325
"PET_09","PET0389",37.66278,-105.64088,2325
"PET_09","PET0390",37.66278,-105.64088,2325
"PET_10","PET0391",38.47747,-106.08848,2460
"PET_10","PET0392",38.47747,-106.08848,2460
"PET_10","PET0393",38.47747,-106.08848,2460
"PET_10","PET0394",38.47747,-106.08848,2460
"PET_10","PET0395",38.47747,-106.08848,2460
"PET_10","PET0396",38.47747,-106.08848,2460
"PET_10","PET0397",38.47747,-106.08848,2460
"PET_10","PET0398",38.47747,-106.08848,2460
"PET_10","PET0399",38.47747,-106.08848,2460
"PET_10","PET0400",38.47747,-106.08848,2460
"PET_11","PET0401",38.48952,-107.03795,2295
"PET_11","PET0402",38.48952,-107.03795,2295
"PET_11","PET0403",38.48952,-107.03795,2295
"PET_11","PET0404",38.48952,-107.03795,2295
"PET_11","PET0405",38.48952,-107.03795,2295
"PET_11","PET0406",38.48952,-107.03795,2295
"PET_11","PET0407",38.48952,-107.03795,2295
"PET_11","PET0408",38.48952,-107.03795,2295
"PET_11","PET0409",38.48952,-107.03795,2295
"PET_11","PET0410",38.48952,-107.03795,2295
"PET_12","PET0411",36.90004,-112.91885,1570
"PET_12","PET0412",36.90004,-112.91885,1570
"PET_12","PET0413",36.90004,-112.91885,1570
"PET_12","PET0414",36.90004,-112.91885,1570
"PET_12","PET0415",36.90004,-112.91885,1570
"PET_12","PET0416",36.90004,-112.91885,1570
"PET_12","PET0417",36.90004,-112.91885,1570
"PET_12","PET0418",36.90004,-112.91885,1570
"PET_12","PET0419",36.90004,-112.91885,1570
"PET_12","PET0420",36.90004,-112.91885,1570
"PET_13","PET0421",37.23794,-112.85064,1805
"PET_13","PET0422",37.23794,-112.85064,1805
"PET_13","PET0423",37.23794,-112.85064,1805
"PET_13","PET0424",37.23794,-112.85064,1805
"PET_13","PET0425",37.23794,-112.85064,1805
"PET_13","PET0426",37.23794,-112.85064,1805
"PET_13","PET0427",37.23794,-112.85064,1805
"PET_13","PET0428",37.23794,-112.85064,1805
"PET_13","PET0429",37.23794,-112.85064,1805
"PET_13","PET0430",37.23794,-112.85064,1805
"PET_14","PET0431",40.55035,-109.91641,2140
"PET_14","PET0432",40.55035,-109.91641,2140
"PET_14","PET0433",40.55035,-109.91641,2140
"PET_14","PET0434",40.55035,-109.91641,2140
"PET_14","PET0435",40.55035,-109.91641,2140
"PET_14","PET0436",40.55035,-109.91641,2140
"PET_14","PET0437",40.55035,-109.91641,2140
"PET_14","PET0438",40.55035,-109.91641,2140
"PET_14","PET0439",40.55035,-109.91641,2140
"PET_14","PET0440",40.55035,-109.91641,2140
"PET_15","PET0441",40.69709,-105.61168,2240
"PET_15","PET0442",40.69709,-105.61168,2240
"PET_15","PET0443",40.69709,-105.61168,2240
"PET_15","PET0444",40.69709,-105.61168,2240
"PET_15","PET0445",40.69709,-105.61168,2240
"PET_15","PET0446",40.69709,-105.61168,2240
"PET_15","PET0447",40.69709,-105.61168,2240
"PET_15","PET0448",40.69709,-105.61168,2240
"PET_15","PET0449",40.69709,-105.61168,2240
"PET_15","PET0450",40.69709,-105.61168,2240
"PET_16","PET0451",40.38047,-104.52282,1415
"PET_16","PET0452",40.38047,-104.52282,1415
"PET_16","PET0453",40.38047,-104.52282,1415
"PET_16","PET0454",40.38047,-104.52282,1415
"PET_16","PET0455",40.38047,-104.52282,1415
"PET_16","PET0456",40.38047,-104.52282,1415
"PET_16","PET0457",40.38047,-104.52282,1415
"PET_16","PET0458",40.38047,-104.52282,1415
"PET_16","PET0459",40.38047,-104.52282,1415
"PET_16","PET0460",40.38047,-104.52282,1415
