"Supporting Information Table S1 Sampling origins and associated climate variables for genotypes used in this study. Transect and population-within-transect are also given. Also indicated are the samples included in the regression of mean annual temperature on height for comparison with altitudinal transects (Fig. 1c), as well as the samples excluded to assess the effects of possible P. balsamifera introgression on bayescan results. Climate variable abbreviations: MAT, mean annual temperature; MWMT, mean warmest month temperature; MCMT, mean coldest month temperature; TD, temperature differential; MAP, mean annual precipitation; MSP, mean summer precipitation; AHM, annual heat moisture index; SHM, summer heat moisture index; Eref, Hargrave's reference evapotranspiration.",,,,,,,,,,,,,,,,
ID,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,Eref,Population,Transect,Included in regression of height/MAT for latitudinal transect?,Excluded for testing effects of P. balsamifera introgression?
NE00,53.95,-124.433333,670,2.9,14.6,-10.6,25.2,511,236,25.3,61.7,557,WLNEMGKTSNZYWFTL,Latitude,No,Yes
WL00,53.917,-122.283333,640,3.4,15.2,-10.3,25.5,697,306,19.3,49.8,560,WLNEMGKTSNZYWFTL,Latitude,No,Yes
WL02,53.917,-122.283333,640,3.4,15.2,-10.3,25.5,697,306,19.3,49.8,560,WLNEMGKTSNZYWFTL,Latitude,No,Yes
QF00,53.067,-122.516667,472,5.2,16.8,-9.1,25.9,584,271,26,62,638,BEDEKIQBQLQCQF,Latitude,No,Yes
QC00,53.033,-122.15,823,3.4,14.5,-9.1,23.6,590,289,22.7,50.1,561,BEDEKIQBQLQCQF,Latitude,No,Yes
QC02,53.033,-122.15,823,3.4,14.5,-9.1,23.6,590,289,22.7,50.1,561,BEDEKIQBQLQCQF,Latitude,No,Yes
QL00,52.967,-122.316667,488,4.7,15.7,-8.4,24.1,600,294,24.5,53.5,623,BEDEKIQBQLQCQF,Latitude,No,Yes
QL01,52.967,-122.316667,488,4.7,15.7,-8.4,24.1,600,294,24.5,53.5,623,BEDEKIQBQLQCQF,Latitude,No,Yes
QL02,52.967,-122.316667,488,4.7,15.7,-8.4,24.1,600,294,24.5,53.5,623,BEDEKIQBQLQCQF,Latitude,No,Yes
QB01,52.95,-122.866667,823,3.1,14,-9,23,523,283,25,49.5,545,BEDEKIQBQLQCQF,Latitude,No,Yes
KI00,52.933,-121.166667,823,3.4,14.4,-8.6,23,766,348,17.6,41.2,554,BEDEKIQBQLQCQF,Latitude,No,Yes
KI02,52.933,-121.166667,823,3.4,14.4,-8.6,23,766,348,17.6,41.2,554,BEDEKIQBQLQCQF,Latitude,No,Yes
DE14,52.833,-126.8,91,4.9,14.1,-4.6,18.7,1726,383,8.6,36.8,544,BEDEKIQBQLQCQF,Latitude,No,No
DE04,52.817,-126.95,27,6.4,14.8,-2.1,16.9,1851,415,8.9,35.7,549,BEDEKIQBQLQCQF,Latitude,No,No
DE05,52.817,-126.95,27,6.4,14.8,-2.1,16.9,1851,415,8.9,35.7,549,BEDEKIQBQLQCQF,Latitude,No,No
DE06,52.817,-126.95,27,6.4,14.8,-2.1,16.9,1851,415,8.9,35.7,549,BEDEKIQBQLQCQF,Latitude,No,No
DE07,52.817,-126.95,27,6.4,14.8,-2.1,16.9,1851,415,8.9,35.7,549,BEDEKIQBQLQCQF,Latitude,No,No
DE08,52.817,-126.95,27,6.4,14.8,-2.1,16.9,1851,415,8.9,35.7,549,BEDEKIQBQLQCQF,Latitude,No,No
DE01,52.767,-126.616667,213,5.8,14.8,-3.8,18.6,1753,397,9,37.4,566,BEDEKIQBQLQCQF,Latitude,No,No
DE03,52.767,-126.616667,213,5.8,14.8,-3.8,18.6,1753,397,9,37.4,566,BEDEKIQBQLQCQF,Latitude,No,No
BE01,52.383,-126.6,135,6.1,14.6,-2.2,16.8,1660,363,9.7,40.4,566,BEDEKIQBQLQCQF,Latitude,No,No
CK03,51.767,-127.2,79,7.6,14.6,1.8,12.8,3647,845,4.8,17.2,520,HMALKLMFMHCK,Latitude,No,No
KL13,51.733,-125.566667,427,4.8,14.9,-6.5,21.4,1020,199,14.5,74.8,626,HMALKLMFMHCK,Latitude,No,No
CK00,51.733,-127.316667,67,7.6,14.7,1.7,12.9,3032,706,5.8,20.8,516,HMALKLMFMHCK,Latitude,No,No
CK01,51.733,-127.316667,67,7.6,14.7,1.7,12.9,3032,706,5.8,20.8,516,HMALKLMFMHCK,Latitude,No,No
CK02,51.733,-127.316667,67,7.6,14.7,1.7,12.9,3032,706,5.8,20.8,516,HMALKLMFMHCK,Latitude,No,No
MH06,51.633,-126.683333,70,7.8,16.1,0.3,15.8,2361,564,7.5,28.6,612,HMALKLMFMHCK,Latitude,No,No
MH00,51.617,-126.583333,122,6.3,14.6,-1.2,15.8,2990,719,5.5,20.4,579,HMALKLMFMHCK,Latitude,No,No
KL10,51.567,-125.5,427,4.8,14.7,-6.3,21,1104,209,13.4,70.3,626,HMALKLMFMHCK,Latitude,No,No
MF01,51.317,-126.233333,275,6.9,14.9,-0.3,15.2,3004,747,5.6,20,577,HMALKLMFMHCK,Latitude,No,No
KL04,51.3,-125.766667,137,6.5,14.9,-1.7,16.6,1497,292,11,51.1,602,HMALKLMFMHCK,Latitude,No,No
KL05,51.3,-125.766667,105,6.6,15.1,-1.5,16.6,1497,292,11.1,51.5,603,HMALKLMFMHCK,Latitude,No,No
KL06,51.3,-125.766667,105,6.6,15.1,-1.5,16.6,1497,292,11.1,51.5,603,HMALKLMFMHCK,Latitude,No,No
HM14,51.283,-124.833333,152,6.5,15.4,-2.9,18.3,1336,230,12.3,67,635,HMALKLMFMHCK,Latitude,No,No
HM09,51.233,-124.95,88,7.9,16.8,-1.2,17.9,1456,256,12.3,65.6,649,HMALKLMFMHCK,Latitude,No,No
KL00,51.117,-125.583333,30,8.7,15.9,2.1,13.8,1779,380,10.5,41.8,592,HMALKLMFMHCK,Latitude,No,No
KL02,51.117,-125.583333,30,8.7,15.9,2.1,13.8,1779,380,10.5,41.8,592,HMALKLMFMHCK,Latitude,No,No
AL00,50.983,-126.116667,247,7.7,14.7,1.4,13.3,3222,860,5.5,17.2,560,HMALKLMFMHCK,Latitude,No,No
HM04,50.95,-124.9,37,7.7,15.9,-0.7,16.6,1655,303,10.7,52.5,595,HMALKLMFMHCK,Latitude,No,No
HM00,50.933,-124.85,46,8.4,16.2,1,15.1,1626,300,11.3,53.9,598,HMALKLMFMHCK,Latitude,No,No
SX04,50.883,-124.733333,91,6.9,15.2,-1.6,16.8,1777,338,9.5,44.9,611,LITBPHSX,Latitude,No,No
SX05,50.883,-124.733333,91,6.9,15.2,-1.6,16.8,1777,338,9.5,44.9,611,LITBPHSX,Latitude,No,No
SX00,50.817,-124.483333,239,6.7,16.2,-3.6,19.8,2021,385,8.2,42,658,LITBPHSX,Latitude,No,No
PH04,50.683,-125.25,58,8,16.8,0.4,16.4,2745,635,6.6,26.5,647,LITBPHSX,Latitude,No,No
LI10,50.617,-123.383333,411,5.8,16.2,-5.3,21.5,1631,327,9.7,49.4,648,LITBPHSX,Latitude,No,No
PH00,50.6,-125.316667,5,9.2,17,2.7,14.3,3210,700,6,24.2,604,LITBPHSX,Latitude,No,No
TB02,50.567,-124.083333,67,7,15.9,-2.4,18.3,2165,432,7.9,36.7,602,LITBPHSX,Latitude,No,No
TB03,50.567,-124.083333,73,7,15.9,-2.4,18.3,2165,432,7.9,36.7,602,LITBPHSX,Latitude,No,No
LI06,50.55,-123.2,274,5.8,16.4,-5.7,22,1478,297,10.7,55.2,656,LITBPHSX,Latitude,No,No
TB00,50.517,-124.233333,67,7.7,16.2,-1.4,17.6,2690,559,6.6,29,648,LITBPHSX,Latitude,No,No
LI02,50.5,-123,271,6.1,17,-5.6,22.7,817,197,19.7,86.3,673,LITBPHSX,Latitude,No,No
DL18,50.38703,-122.37146,1145,3.4,14.1,-6.6,20.7,1250,325,10.7,43.5,527,DL,Highway_99,No,No
DL17,50.38701,-122.37085,1143,3.4,14.1,-6.5,20.7,1251,325,10.7,43.5,527,DL,Highway_99,No,No
DL16,50.38683,-122.37195,1145,3.4,14.1,-6.6,20.7,1250,324,10.7,43.5,527,DL,Highway_99,No,No
DL15,50.38661,-122.36121,1129,3.5,14.1,-6.5,20.6,1255,325,10.7,43.4,527,DL,Highway_99,No,No
DL14,50.3865,-122.36955,1142,3.4,14.1,-6.6,20.7,1251,324,10.7,43.5,527,DL,Highway_99,No,No
DL12,50.38628,-122.36906,1142,3.4,14.1,-6.6,20.7,1251,324,10.7,43.5,526,DL,Highway_99,No,No
DL11,50.38622,-122.35315,1132,3.4,14.1,-6.5,20.5,1259,326,10.6,43.2,525,DL,Highway_99,No,No
DL10,50.38617,-122.36865,1148,3.4,14.1,-6.6,20.7,1251,324,10.7,43.4,526,DL,Highway_99,No,No
DL09,50.3861,-122.35153,1136,3.4,14,-6.5,20.5,1260,326,10.6,43.1,525,DL,Highway_99,No,No
DL08,50.38602,-122.35387,1129,3.4,14.1,-6.5,20.6,1258,325,10.7,43.3,526,DL,Highway_99,No,No
DL06,50.38598,-122.35297,1132,3.4,14.1,-6.5,20.5,1259,325,10.6,43.2,525,DL,Highway_99,No,No
DL07,50.38598,-122.35454,1129,3.4,14.1,-6.5,20.6,1258,325,10.7,43.3,526,DL,Highway_99,No,No
DL04,50.38593,-122.3603,1131,3.4,14.1,-6.5,20.6,1255,325,10.7,43.4,526,DL,Highway_99,No,No
DL01,50.3855,-122.36713,1135,3.4,14.1,-6.6,20.7,1251,323,10.7,43.5,526,DL,Highway_99,No,No
DL00,50.38511,-122.35725,1142,3.3,14,-6.6,20.6,1257,324,10.6,43.2,524,DL,Highway_99,No,No
CC19,50.35495,-122.52975,1040,4.2,14.5,-5.4,19.9,1487,351,9.5,41.4,540,CC,Highway_99,No,No
CC18,50.35453,-122.52991,1041,4.2,14.5,-5.4,19.9,1488,350,9.5,41.4,540,CC,Highway_99,No,No
CC17,50.35329,-122.5306,1028,4.2,14.5,-5.4,19.9,1491,350,9.5,41.6,542,CC,Highway_99,No,No
CC15,50.35248,-122.53152,1013,4.2,14.6,-5.4,19.9,1491,349,9.6,41.8,543,CC,Highway_99,No,No
CC14,50.35146,-122.53195,1001,4.3,14.6,-5.3,20,1494,349,9.6,41.9,545,CC,Highway_99,No,No
CC13,50.3509,-122.53241,994,4.3,14.6,-5.3,20,1494,348,9.6,42,545,CC,Highway_99,No,No
CC10,50.34812,-122.53381,960,4.4,14.7,-5.3,20.1,1499,346,9.6,42.5,549,CC,Highway_99,No,No
CC09,50.33736,-122.5428,880,4.3,14.7,-5.8,20.5,1489,331,9.6,44.4,555,CC,Highway_99,No,No
CC08,50.33721,-122.54341,870,4.3,14.8,-5.8,20.5,1492,331,9.6,44.5,587,CC,Highway_99,No,No
CC06,50.33687,-122.54376,872,4.3,14.8,-5.8,20.5,1495,331,9.6,44.5,587,CC,Highway_99,No,No
CC05,50.33683,-122.54427,866,4.4,14.8,-5.7,20.5,1497,332,9.6,44.6,588,CC,Highway_99,No,No
CC04,50.33642,-122.54517,856,4.4,14.9,-5.7,20.5,1502,332,9.6,44.7,590,CC,Highway_99,No,No
CC03,50.33438,-122.54893,823,4.7,15.1,-5.5,20.6,1523,333,9.6,45.3,598,CC,Highway_99,No,No
