"Pop","ID","Lat","Long","Alt"
"ANN_01","ANN0801",38.56535,-121.63765,6
"ANN_01","ANN0802",38.56535,-121.63765,6
"ANN_01","ANN0803",38.56535,-121.63765,6
"ANN_01","ANN0804",38.56535,-121.63765,6
"ANN_01","ANN0805",38.56535,-121.63765,6
"ANN_01","ANN0806",38.56535,-121.63765,6
"ANN_01","ANN0807",38.56535,-121.63765,6
"ANN_01","ANN0808",38.56535,-121.63765,6
"ANN_01","ANN0809",38.56535,-121.63765,6
"ANN_01","ANN0810",38.56535,-121.63765,6
"ANN_02","ANN0811",36.59499,-120.75822,295
"ANN_02","ANN0812",36.59499,-120.75822,295
"ANN_02","ANN0813",36.59499,-120.75822,295
"ANN_02","ANN0814",36.59499,-120.75822,295
"ANN_02","ANN0815",36.59499,-120.75822,295
"ANN_02","ANN0816",36.59499,-120.75822,295
"ANN_02","ANN0817",36.59499,-120.75822,295
"ANN_02","ANN0818",36.59499,-120.75822,295
"ANN_02","ANN0819",36.59499,-120.75822,295
"ANN_02","ANN0820",36.59499,-120.75822,295
"ANN_03","ANN0821",36.24542,-120.31654,295
"ANN_03","ANN0822",36.24542,-120.31654,295
"ANN_03","ANN0823",36.24542,-120.31654,295
"ANN_03","ANN0824",36.24542,-120.31654,295
"ANN_03","ANN0825",36.24542,-120.31654,295
"ANN_03","ANN0826",36.24542,-120.31654,295
"ANN_03","ANN0827",36.24542,-120.31654,295
"ANN_03","ANN0828",36.24542,-120.31654,295
"ANN_03","ANN0829",36.24542,-120.31654,295
"ANN_03","ANN0830",36.24542,-120.31654,295
"ANN_04","ANN0831",34.75087,-119.07235,1560
"ANN_04","ANN0832",34.75087,-119.07235,1560
"ANN_04","ANN0833",34.75087,-119.07235,1560
"ANN_04","ANN0834",34.75087,-119.07235,1560
"ANN_04","ANN0835",34.75087,-119.07235,1560
"ANN_04","ANN0836",34.75087,-119.07235,1560
"ANN_04","ANN0837",34.75087,-119.07235,1560
"ANN_04","ANN0838",34.75087,-119.07235,1560
"ANN_04","ANN0839",34.75087,-119.07235,1560
"ANN_04","ANN0840",34.75087,-119.07235,1560
"ANN_05","ANN0841",33.69278,-116.18411,-14
"ANN_05","ANN0842",33.69278,-116.18411,-14
"ANN_05","ANN0843",33.69278,-116.18411,-14
"ANN_05","ANN0844",33.69278,-116.18411,-14
"ANN_05","ANN0845",33.69278,-116.18411,-14
"ANN_05","ANN0846",33.69278,-116.18411,-14
"ANN_05","ANN0847",33.69278,-116.18411,-14
"ANN_05","ANN0848",33.69278,-116.18411,-14
"ANN_05","ANN0849",33.69278,-116.18411,-14
"ANN_05","ANN0850",33.69278,-116.18411,-14
"ANN_06","ANN0851",34.24976,-117.45148,738
"ANN_06","ANN0852",34.24976,-117.45148,738
"ANN_06","ANN0853",34.24976,-117.45148,738
"ANN_06","ANN0854",34.24976,-117.45148,738
"ANN_06","ANN0855",34.24976,-117.45148,738
"ANN_06","ANN0856",34.24976,-117.45148,738
"ANN_06","ANN0857",34.24976,-117.45148,738
"ANN_06","ANN0858",34.24976,-117.45148,738
"ANN_06","ANN0859",34.24976,-117.45148,738
"ANN_06","ANN0860",34.24976,-117.45148,738
"ANN_07","ANN0861",38.7892,-119.9363,2330
"ANN_07","ANN0862",38.7892,-119.9363,2330
"ANN_07","ANN0863",38.7892,-119.9363,2330
"ANN_07","ANN0864",38.7892,-119.9363,2330
"ANN_07","ANN0865",38.7892,-119.9363,2330
"ANN_07","ANN0866",38.7892,-119.9363,2330
"ANN_07","ANN0867",38.7892,-119.9363,2330
"ANN_07","ANN0868",38.7892,-119.9363,2330
"ANN_07","ANN0869",38.7892,-119.9363,2330
"ANN_07","ANN0870",38.7892,-119.9363,2330
"ANN_08","ANN0871",38.67722,-119.73895,1710
"ANN_08","ANN0872",38.67722,-119.73895,1710
"ANN_08","ANN0873",38.67722,-119.73895,1710
"ANN_08","ANN0874",38.67722,-119.73895,1710
"ANN_08","ANN0875",38.67722,-119.73895,1710
"ANN_08","ANN0876",38.67722,-119.73895,1710
"ANN_08","ANN0877",38.67722,-119.73895,1710
"ANN_08","ANN0878",38.67722,-119.73895,1710
"ANN_08","ANN0879",38.67722,-119.73895,1710
"ANN_08","ANN0880",38.67722,-119.73895,1710
"ANN_09","ANN0881",37.43321,-118.40646,1270
"ANN_09","ANN0882",37.43321,-118.40646,1270
"ANN_09","ANN0883",37.43321,-118.40646,1270
"ANN_09","ANN0884",37.43321,-118.40646,1270
"ANN_09","ANN0885",37.43321,-118.40646,1270
"ANN_09","ANN0886",37.43321,-118.40646,1270
"ANN_09","ANN0887",37.43321,-118.40646,1270
"ANN_09","ANN0888",37.43321,-118.40646,1270
"ANN_09","ANN0889",37.43321,-118.40646,1270
"ANN_09","ANN0890",37.43321,-118.40646,1270
"ANN_10","ANN0891",37.17346,-118.27904,1205
"ANN_10","ANN0892",37.17346,-118.27904,1205
"ANN_10","ANN0893",37.17346,-118.27904,1205
"ANN_10","ANN0894",37.17346,-118.27904,1205
"ANN_10","ANN0895",37.17346,-118.27904,1205
"ANN_10","ANN0896",37.17346,-118.27904,1205
"ANN_10","ANN0897",37.17346,-118.27904,1205
"ANN_10","ANN0898",37.17346,-118.27904,1205
"ANN_10","ANN0899",37.17346,-118.27904,1205
"ANN_10","ANN0900",37.17346,-118.27904,1205
"ANN_11","ANN0901",35.19566,-114.06666,1030
"ANN_11","ANN0902",35.19566,-114.06666,1030
"ANN_11","ANN0903",35.19566,-114.06666,1030
"ANN_11","ANN0904",35.19566,-114.06666,1030
"ANN_11","ANN0905",35.19566,-114.06666,1030
"ANN_11","ANN0906",35.19566,-114.06666,1030
"ANN_11","ANN0907",35.19566,-114.06666,1030
"ANN_11","ANN0908",35.19566,-114.06666,1030
"ANN_11","ANN0909",35.19566,-114.06666,1030
"ANN_11","ANN0910",35.19566,-114.06666,1030
"ANN_12","ANN0911",35.2533,-112.13355,2115
"ANN_12","ANN0912",35.2533,-112.13355,2115
"ANN_12","ANN0913",35.2533,-112.13355,2115
"ANN_12","ANN0914",35.2533,-112.13355,2115
"ANN_12","ANN0915",35.2533,-112.13355,2115
"ANN_12","ANN0916",35.2533,-112.13355,2115
"ANN_12","ANN0917",35.2533,-112.13355,2115
"ANN_12","ANN0918",35.2533,-112.13355,2115
"ANN_12","ANN0919",35.2533,-112.13355,2115
"ANN_12","ANN0920",35.2533,-112.13355,2115
"ANN_13","ANN0921",34.75056,-112.01697,1005
"ANN_13","ANN0922",34.75056,-112.01697,1005
"ANN_13","ANN0923",34.75056,-112.01697,1005
"ANN_13","ANN0924",34.75056,-112.01697,1005
"ANN_13","ANN0925",34.75056,-112.01697,1005
"ANN_13","ANN0926",34.75056,-112.01697,1005
"ANN_13","ANN0927",34.75056,-112.01697,1005
"ANN_13","ANN0928",34.75056,-112.01697,1005
"ANN_13","ANN0929",34.75056,-112.01697,1005
"ANN_13","ANN0930",34.75056,-112.01697,1005
"ANN_14","ANN0931",36.1086,-111.24184,1410
"ANN_14","ANN0932",36.1086,-111.24184,1410
"ANN_14","ANN0933",36.1086,-111.24184,1410
"ANN_14","ANN0934",36.1086,-111.24184,1410
"ANN_14","ANN0935",36.1086,-111.24184,1410
"ANN_14","ANN0936",36.1086,-111.24184,1410
"ANN_14","ANN0937",36.1086,-111.24184,1410
"ANN_14","ANN0938",36.1086,-111.24184,1410
"ANN_14","ANN0939",36.1086,-111.24184,1410
"ANN_14","ANN0940",36.1086,-111.24184,1410
"ANN_15","ANN0941",35.03852,-110.7351,1515
"ANN_15","ANN0942",35.03852,-110.7351,1515
"ANN_15","ANN0943",35.03852,-110.7351,1515
"ANN_15","ANN0944",35.03852,-110.7351,1515
"ANN_15","ANN0945",35.03852,-110.7351,1515
"ANN_15","ANN0946",35.03852,-110.7351,1515
"ANN_15","ANN0947",35.03852,-110.7351,1515
"ANN_15","ANN0948",35.03852,-110.7351,1515
"ANN_15","ANN0949",35.03852,-110.7351,1515
"ANN_15","ANN0950",35.03852,-110.7351,1515
"ANN_16","ANN0951",35.40041,-108.23557,2180
"ANN_16","ANN0952",35.40041,-108.23557,2180
"ANN_16","ANN0953",35.40041,-108.23557,2180
"ANN_16","ANN0954",35.40041,-108.23557,2180
"ANN_16","ANN0955",35.40041,-108.23557,2180
"ANN_16","ANN0956",35.40041,-108.23557,2180
"ANN_16","ANN0957",35.40041,-108.23557,2180
"ANN_16","ANN0958",35.40041,-108.23557,2180
"ANN_16","ANN0959",35.40041,-108.23557,2180
"ANN_16","ANN0960",35.40041,-108.23557,2180
"ANN_17","ANN0961",35.24503,-107.68594,2425
"ANN_17","ANN0962",35.24503,-107.68594,2425
"ANN_17","ANN0963",35.24503,-107.68594,2425
"ANN_17","ANN0964",35.24503,-107.68594,2425
"ANN_17","ANN0965",35.24503,-107.68594,2425
"ANN_17","ANN0966",35.24503,-107.68594,2425
"ANN_17","ANN0967",35.24503,-107.68594,2425
"ANN_17","ANN0968",35.24503,-107.68594,2425
"ANN_17","ANN0969",35.24503,-107.68594,2425
"ANN_17","ANN0970",35.24503,-107.68594,2425
"ANN_18","ANN0971",36.07308,-104.28873,1810
"ANN_18","ANN0972",36.07308,-104.28873,1810
"ANN_18","ANN0973",36.07308,-104.28873,1810
"ANN_18","ANN0974",36.07308,-104.28873,1810
"ANN_18","ANN0975",36.07308,-104.28873,1810
"ANN_18","ANN0976",36.07308,-104.28873,1810
"ANN_18","ANN0977",36.07308,-104.28873,1810
"ANN_18","ANN0978",36.07308,-104.28873,1810
"ANN_18","ANN0979",36.07308,-104.28873,1810
"ANN_18","ANN0980",36.07308,-104.28873,1810
"ANN_19","ANN0981",36.7268,-104.01913,2090
"ANN_19","ANN0982",36.7268,-104.01913,2090
"ANN_19","ANN0983",36.7268,-104.01913,2090
"ANN_19","ANN0984",36.7268,-104.01913,2090
"ANN_19","ANN0985",36.7268,-104.01913,2090
"ANN_19","ANN0986",36.7268,-104.01913,2090
