pop	prec_clim_change	tmax_clim_change
-118.7_37.54	0.0522585683773485	0.082204489582346
-120.33_38.76	0.0339093519527177	0.0805898058588339
-120.77_39.9	0.00513778059889663	0.0544605223166541
-120.78_39.29	0.0205511223955865	0.0863147140614633
-121.01_49.66	0.0543136806169072	0.0273036340398506
-121.17_49.58	0.0493226937494076	0.0290651588166152
-121.17_52.93	0.0246613685962207	0.0274504358306129
-121.18_49.57	0.0493226937494076	0.0290651588166152
-121.18_49.58	0.0493226937494076	0.0290651588166152
-121.21_49.49	0.0422765946423494	0.0318542397131591
-121.21_49.5	0.0422765946423494	0.0318542397131591
-121.25_49.48	0.0422765946423494	0.0318542397131591
-121.25_49.49	0.0422765946423494	0.0318542397131591
-121.2_48.72	0.0418362134481582	0.0293587635187009
-121.2_49.5	0.0453592630016873	0.031560652250365
-121.2_49.51	0.050497043600584	0.0311202710561738
-121.32_49.39	0.0427169758365405	0.0352304955352911
-121.41_49.66	0.0356708767294823	0.0300927149363945
-121.42_49.67	0.0343497331469089	0.0302395086677916
-121.43_49.43	0.0381663701632321	0.0342029394155118
-121.47_49.57	0.0369920203120557	0.0325882083701443
-121.4_49.57	0.0356708767294823	0.0308266835933798
-121.52_49.1	0.0295055400108063	0.038019576431835
-121.55_49.4	0.0321478271759532	0.034936908072497
-121.57_50	0.0434509444935257	0.0271568403084536
-121.58_47.53	0.0465336128528637	0.0302395175460228
-121.63_49.1	0.0267164591142625	0.0402214824027907
-121.67_49.28	0.0334689707585266	0.0412490385225701
-121.67_49.29	0.0334689707585266	0.0412490385225701
-121.72_49.08	0.0249549343374979	0.0418362134481582
-121.73_49.08	0.0249549343374979	0.0418362134481582
-121.82_49.97	0.031560652250365	0.0297991274736004
-121.85_49.23	0.0281843964282329	0.0424233883737464
-121.92_45.58	0.0604790173355831	0.024000789176538
-121.95_49.28	0.0300927149363945	0.044184913150511
-121_49.65	0.0588642862902156	0.0256889029944831
-121_49.66	0.0588642862902156	0.0256889029944831
-122.15_53.03	0.0215787482054782	0.02833119015963
-122.1_49.15	0.0239273782177186	0.047267581509849
-122.22_49.77	0.0277440152340418	0.0372856077748498
-122.28_53.92	0	0.0484419313610253
-122.2_47.12	0.0553412367366865	0.0317808615089937
-122.32_52.97	0.0193767839223426	0.0293587462794093
-122.33_49.12	0.0205511223955865	0.0468272003156578
-122.35_50.39	0.0261292841886743	0.0286247776224241
-122.36_50.39	0.0261292841886743	0.0286247776224241
-122.37_50.39	0.0261292841886743	0.0286247776224241
-122.45_49.87	0.0255421092630861	0.0362580516550705
-122.4_45.57	0.0531393307657308	0.0284046037043431
-122.52_53.07	0.0124774744954479	0.0302395086677916
-122.53_50.03	0.0179088352304397	0.0358176809768426
-122.53_50.35	0.0243677594119097	0.0325882083701443
-122.54_50.34	0.0243677594119097	0.0325882083701443
-122.55_50.33	0.0208447098583806	0.0339093619084042
-122.55_50.34	0.0224594409037481	0.0331753832957325
-122.57_45.32	0.0513778059889663	0.0298725418802781
-122.58_49.18	0.0132114358257342	0.0482951376296283
-122.66_41.71	0.018349221811907	0.0347901143411
-122.67_46.33	0.0459464379272755	0.0354507277653125
-122.6_54.03	0	0.047267581509849
-122.74_50.3	0.0082204489582346	0.0365516391178646
-122.75_45.75	0.0450656755388933	0.0344231502256768
-122.75_50.3	0.0082204489582346	0.0365516391178646
-122.76_50.3	0.00748648030124937	0.0373590156090427
-122.76_50.31	0.00748648030124937	0.0373590156090427
-122.77_50.31	0.00748648030124937	0.0373590156090427
-122.7_47.07	0.0502034561377899	0.0347167480536084
-122.83_45.75	0.0450656755388933	0.0353772996533568
-122.87_52.95	0.0124774708320968	0.0274504277712477
-122.92_44	0.0560752053936717	0.0354506965406044
-122.95_50.13	0.015706929259484	0.0365516391178646
-122.95_50.14	0.015706929259484	0.0365516391178646
-122.96_50.13	0.0168812791106603	0.0358176704608793
-122.96_50.14	0.0168812791106603	0.0358176704608793
-122.96_50.15	0.0168812791106603	0.0358176704608793
