pop	V1	lat	long
Sp.371	Sp.371A4	50.27	-114.58
Sp.373	Sp.373A6	59.24	-118.66
Sp.373	Sp.373A5	59.24	-118.66
Sp.373	Sp.373A7	59.24	-118.66
Sp.374	Sp.374A4	58.33	-119.48
Sp.375	Sp.375A3	57.3	-118.6
Sp.375	Sp.375A4	57.3	-118.6
Sp.376	Sp.376A3	57.37	-117.47
Sp.376	Sp.376A4	57.37	-117.47
Sp.377	Sp.377A4	56.63	-119.01
Sp.377	Sp.377A3	56.63	-119.01
Sp.378	Sp.378A3	56.86	-117.06
Sp.378	Sp.378A4	56.86	-117.06
Sp.379	Sp.379A4	56.19	-110.69
Sp.379	Sp.379A3	56.19	-110.69
Sp.380	Sp.380A6	50.92	-114.91
Sp.380	Sp.380A8	50.92	-114.91
Sp.380	Sp.380A7	50.92	-114.91
Sp.381	Sp.381A3	54.87	-113.67
Sp.381	Sp.381A4	54.87	-113.67
Sp.382	Sp.382A5	50.37	-114.6
Sp.382	Sp.382A8	50.37	-114.6
Sp.383	Sp.383A5	55.19	-114.88
Sp.383	Sp.383A8	55.19	-114.88
Sp.383	Sp.383A7	55.19	-114.88
Sp.384	Sp.384A3	56.2	-119.49
Sp.384	Sp.384A4	56.2	-119.49
Sp.385	Sp.385A3	55.59	-113.33
Sp.385	Sp.385A4	55.59	-113.33
Sp.386	Sp.386A4	59.86	-111.65
Sp.386	Sp.386A3	59.86	-111.65
Sp.387	Sp.387A5	51.75	-114.63
Sp.387	Sp.387A8	51.75	-114.63
Sp.388	Sp.388A3	50.79	-114.48
Sp.388	Sp.388A4	50.79	-114.48
Sp.389	Sp.389A3	50.96	-114.76
Sp.389	Sp.389A4	50.96	-114.76
Sp.390	Sp.390A3	54.71	-111.28
Sp.390	Sp.390A4	54.71	-111.28
Sp.391	Sp.391A3	55.59	-118.22
Sp.391	Sp.391A4	55.59	-118.22
Sp.392	Sp.392A3	54.8	-111.29
Sp.392	Sp.392A4	54.8	-111.29
Sp.393	Sp.393A3	54.45	-110.83
Sp.393	Sp.393A4	54.45	-110.83
Sp.394	Sp.394A4	55.67	-116.86
Sp.394	Sp.394A3	55.67	-116.86
Sp.395	Sp.395A4	55.85	-113.21
Sp.395	Sp.395A3	55.85	-113.21
Sp.396	Sp.396A3	55.94	-113.83
Sp.396	Sp.396A4	55.94	-113.83
Sp.397	Sp.397A3	56.63	-114.55
Sp.397	Sp.397A4	56.63	-114.55
Sp.398	Sp.398A3	56.63	-115.28
Sp.398	Sp.398A4	56.63	-115.28
Sp.399	Sp.399A5	55.5	-112.25
Sp.399	Sp.399A7	55.5	-112.25
Sp.399	Sp.399A8	55.5	-112.25
Sp.400	Sp.400A7	51.05	-114.9
Sp.401	Sp.401A3	56.63	-114.39
Sp.401	Sp.401A4	56.63	-114.39
Sp.402	Sp.402A4	58.29	-111.42
Sp.402	Sp.402A3	58.29	-111.42
Sp.403	Sp.403A3	58.03	-116.89
Sp.403	Sp.403A4	58.03	-116.89
Sp.404	Sp.404A3	58.12	-115.57
Sp.404	Sp.404A4	58.12	-115.57
Sp.405	Sp.405A3	58.38	-116.25
Sp.405	Sp.405A4	58.38	-116.25
Sp.406	Sp.406A6	58.73	-118.75
Sp.406	Sp.406A5	58.73	-118.75
Sp.406	Sp.406A8	58.73	-118.75
Sp.407	Sp.407A6	49.39	-114.33
Sp.407	Sp.407A7	49.39	-114.33
Sp.407	Sp.407A8	49.39	-114.33
Sp.408	Sp.408A4	49.65	-114.6
Sp.408	Sp.408A3	49.65	-114.6
Sp.409	Sp.409A3	56.64	-116.26
Sp.409	Sp.409A4	56.64	-116.26
Sp.410	Sp.410A3	57.05	-112.42
Sp.410	Sp.410A4	57.05	-112.42
Sp.411	Sp.411A3	55.83	-121.66
Sp.411	Sp.411A4	55.83	-121.66
Sp.412	Sp.412A6	49.25	-114.75
Sp.412	Sp.412A8	49.25	-114.75
Sp.412	Sp.412A5	49.25	-114.75
Sp.413	Sp.413A3	49.2	-116.13
Sp.413	Sp.413A4	49.2	-116.13
Sp.414	Sp.414A6	50.96	-116.26
Sp.414	Sp.414A8	50.96	-116.26
Sp.414	Sp.414A7	50.96	-116.26
Sp.415	Sp.415A8	49.28	-118.88
Sp.415	Sp.415A6	49.28	-118.88
Sp.415	Sp.415A7	49.28	-118.88
Sp.416	Sp.416A3	49.35	-116.96
Sp.416	Sp.416A4	49.35	-116.96
Sp.417	Sp.417A6	49.41	-115.05
Sp.417	Sp.417A7	49.41	-115.05
Sp.417	Sp.417A8	49.41	-115.05
Sp.418	Sp.418A3	50.51	-122.11
Sp.418	Sp.418A4	50.51	-122.11
Sp.419	Sp.419A5	49.86	-119.71
Sp.419	Sp.419A6	49.86	-119.71
Sp.419	Sp.419A7	49.86	-119.71
Sp.420	Sp.420A6	55.63	-123.68
Sp.420	Sp.420A7	55.63	-123.68
Sp.420	Sp.420A8	55.63	-123.68
Sp.421	Sp.421A5	52.4	-120.9
Sp.421	Sp.421A8	52.4	-120.9
Sp.421	Sp.421A6	52.4	-120.9
Sp.422	Sp.422A3	52.53	-120.5
Sp.422	Sp.422A4	52.53	-120.5
Sp.423	Sp.423A7	52.83	-121.56
Sp.423	Sp.423A6	52.83	-121.56
Sp.424	Sp.424A3	50.93	-119.86
Sp.424	Sp.424A4	50.93	-119.86
Sp.425	Sp.425A3	53.4	-122.23
Sp.425	Sp.425A4	53.4	-122.23
Sp.426	Sp.426A3	59.9	-128.21
Sp.426	Sp.426A4	59.9	-128.21
Sp.427	Sp.427A5	50.31	-117.41
Sp.427	Sp.427A7	50.31	-117.41
Sp.427	Sp.427A8	50.31	-117.41
Sp.428	Sp.428A6	51.96	-120.61
Sp.428	Sp.428A5	51.96	-120.61
Sp.429	Sp.429A7	50.96	-121.78
Sp.429	Sp.429A6	50.96	-121.78
Sp.429	Sp.429A5	50.96	-121.78
Sp.430	Sp.430A8	49.75	-121.75
Sp.430	Sp.430A7	49.75	-121.75
Sp.430	Sp.430A5	49.75	-121.75
Sp.431	Sp.431A3	50.58	-119.73
Sp.431	Sp.431A4	50.58	-119.73
Sp.432	Sp.432A6	52.24	-121.1
Sp.432	Sp.432A7	52.24	-121.1
Sp.432	Sp.432A8	52.24	-121.1
Sp.433	Sp.433A6	52.55	-122.1
Sp.433	Sp.433A5	52.55	-122.1
Sp.433	Sp.433A7	52.55	-122.1
Sp.434	Sp.434A5	50.23	-115.7
Sp.434	Sp.434A6	50.23	-115.7
Sp.434	Sp.434A7	50.23	-115.7
Sp.435	Sp.435A7	49.5	-118.5
Sp.435	Sp.435A6	49.5	-118.5
Sp.436	Sp.436A3	51.65	-118.51
Sp.436	Sp.436A4	51.65	-118.51
Sp.437	Sp.437A7	52.08	-118.66
Sp.437	Sp.437A8	52.08	-118.66
Sp.437	Sp.437A6	52.08	-118.66
Sp.438	Sp.438A7	50.5	-115.88
Sp.438	Sp.438A5	50.5	-115.88
Sp.439	Sp.439A6	49.28	-114.7
Sp.439	Sp.439A5	49.28	-114.7
Sp.439	Sp.439A8	49.28	-114.7
Sp.440	Sp.440A3	49.81	-117.38
Sp.440	Sp.440A4	49.81	-117.38
Sp.441	Sp.441A5	50.01	-114.83
Sp.441	Sp.441A6	50.01	-114.83
Sp.441	Sp.441A8	50.01	-114.83
Sp.442	Sp.442A7	51.65	-118.45
Sp.442	Sp.442A8	51.65	-118.45
Sp.442	Sp.442A6	51.65	-118.45
Sp.442	Sp.442A5	51.65	-118.45
Sp.443	Sp.443A4	51.5	-117.18
Sp.443	Sp.443A3	51.5	-117.18
Sp.444	Sp.444A6	50.73	-118.03
Sp.444	Sp.444A5	50.73	-118.03
Sp.444	Sp.444A7	50.73	-118.03
Sp.445	Sp.445A5	49.38	-116.5
Sp.445	Sp.445A6	49.38	-116.5
Sp.445	Sp.445A7	49.38	-116.5
Sp.446	Sp.446A6	51.6	-119.91
Sp.446	Sp.446A7	51.6	-119.91
Sp.446	Sp.446A8	51.6	-119.91
Sp.447	Sp.447A7	51.35	-119.08
Sp.447	Sp.447A8	51.35	-119.08
Sp.447	Sp.447A6	51.35	-119.08
Sp.448	Sp.448A6	50.83	-119.13
Sp.448	Sp.448A7	50.83	-119.13
Sp.448	Sp.448A8	50.83	-119.13
Sp.449	Sp.449A6	49.26	-119.73
Sp.449	Sp.449A5	49.26	-119.73
Sp.449	Sp.449A8	49.26	-119.73
Sp.450	Sp.450A3	50.05	-119.26
Sp.450	Sp.450A4	50.05	-119.26
Sp.451	Sp.451A7	50.16	-119.75
Sp.451	Sp.451A8	50.16	-119.75
Sp.451	Sp.451A6	50.16	-119.75
Sp.452	Sp.452A3	49.48	-120.95
Sp.452	Sp.452A4	49.48	-120.95
Sp.453	Sp.453A5	49.3	-120.78
Sp.453	Sp.453A6	49.3	-120.78
Sp.453	Sp.453A7	49.3	-120.78
Sp.454	Sp.454A5	50.43	-121.93
Sp.454	Sp.454A7	50.43	-121.93
Sp.454	Sp.454A8	50.43	-121.93
Sp.455	Sp.455A5	50.38	-121.56
Sp.455	Sp.455A6	50.38	-121.56
Sp.455	Sp.455A8	50.38	-121.56
Sp.455	Sp.455A7	50.38	-121.56
Sp.456	Sp.456A5	52.38	-121.98
Sp.456	Sp.456A8	52.38	-121.98
Sp.456	Sp.456A6	52.38	-121.98
Sp.456	Sp.456A7	52.38	-121.98
Sp.457	Sp.457A7	51.96	-121.41
Sp.457	Sp.457A8	51.96	-121.41
