Sp.493	52.58	-120.36
Sp.494	52.56	-121.58
Sp.495	53.13	-124.53
Sp.496	51.5	-117.25
Sp.497	49.81	-114.86
Sp.498	50.13	-122.95
Sp.499	53.9	-126.03
Sp.500	51.01	-118.21
Sp.501	50.75	-117.91
Sp.502	51.23	-119.65
Sp.503	56.21	-122
Sp.504	49.01	-115.55
Sp.505	50.26	-118.13
Sp.506	50.41	-117.68
Sp.507	49.43	-120.81
Sp.508	54.33	-126.16
Sp.509	54	-126
Sp.510	58.41	-122.91
Sp.511	53.75	-121.61
Sp.512	50.16	-117.58
Sp.513	51.03	-118.35
Sp.514	54.2	-122.01
Sp.515	55.4	-125.76
Sp.516	53.91	-122.28
Sp.517	54.3	-122
Sp.518	54.26	-122.85
Sp.519	54.78	-122.51
Sp.520	54.33	-121.48
Sp.521	55.55	-125.96
Sp.522	53.01	-123.18
Sp.523	52.96	-122.75
Sp.524	53.15	-122.6
Sp.525	52.85	-122.1
Sp.526	52.65	-124.23
Sp.527	49.75	-119
Sp.528	52.56	-118.88
Sp.529	56.36	-123.11
Sp.530	57.23	-125.51
Sp.531	54.56	-123.65
Sp.532	55.05	-124.81
Sp.533	55.1	-125.4
Sp.534	55.16	-120.96
Sp.535	54.13	-126.5
Sp.536	54.66	-126.66
Sp.537	56.35	-125.4
Sp.538	53.5	-122.16
Sp.539	53.58	-123.01
Sp.540	53.36	-123.43
Sp.541	53.66	-122.38
Sp.542	55.5	-126.58
Sp.543	55.68	-124.35
Sp.544	59.21	-123.45
Sp.545	59.85	-123.85
Sp.546	55.51	-122.2
Sp.547	51.3	-122.75
Sp.548	49.65	-121
Sp.549	49.65	-120.15
Sp.550	49.05	-117.76
Sp.551	57.26	-122.83
Sp.552	55.54	-120.75
Sp.553	56.38	-120.63
Sp.554	58.13	-122.76
Sp.555	52.83	-120.93
Sp.576	NA	NA
Sp.579	NA	NA
