pop	prec_clim_change	tmax_clim_change
-100.1189_28.63085	0.0557816179308776	0.0623873358437447
-102.9884_49.23184	0.129765658554989	0.0206979161269835
-103.13683_31.03955	0.00491759144559109	0.0943150278038265
-104.01913_36.7268	0.0330285895643355	0.0733234903603806
-104.02012_31.13312	0.0377259889690409	0.102021643320947
-104.28873_36.07308	0.0358176704608793	0.0710481659961705
-105.09619_40.48679	0.091599288391757	0.0478547564354371
-106.67373_32.12876	0.0336157644899236	0.0860945487414679
-107.45885_41.77426	0.0913057009289629	0.0450656755388933
-107.62928_38.44366	0.0111563235861755	0.0729565059241424
-107.68594_35.24503	0.0381663701632321	0.110976060936167
-108.23557_35.40041	0.0576899364390393	0.10290240570933
-108.3738_38.91004	0.0456528504644814	0.0639286887926842
-108.38541_32.17943	0.0381663813687667	0.102095100136282
-108.46384_39.00672	0.0579835239018333	0.0642222763416747
-109.51947_40.51274	0.0547540618110983	0.0484419313610253
-110.10544_31.43996	0.00631213230329602	0.110976060936167
-110.7351_35.03852	0.0892505886894042	0.0924800507801393
-111.01274_31.5081	0.050937439749854	0.128811537119587
-111.24184_36.1086	0.0544604743483042	0.0796356460444761
-111.53769_32.73158	0.0483687191074847	0.109948601658151
-111.65071_40.1781	0.00704609910705823	0.0452124692702903
-112.01697_34.75056	0.0728097335263781	0.0773603191590001
-112.0556_41.48524	0.0763327403264641	0.0440381452780513
-112.13355_35.2533	0.0917461359959402	0.0857275391358751
-112.15004_40.77115	0.0364048453864675	0.0469006109512344
-112.20662_39.7148	0.0452124692702903	0.0481483438982312
-112.26423_40.69149	0.031707445981762	0.0485153424706822
-112.35661_39.55006	0.047414375241246	0.0485887250924224
-112.56561_37.13137	0.0619469546495536	0.0744244218183026
-112.64767_38.21652	0.028477983891027	0.0620937483809506
-113.51348_37.13733	0.0136518210280588	0.0637084794263182
-114.06666_35.19566	0.0339093718640995	0.050497043600584
-114.09841_36.79654	0.00822045137173436	0.0550476492738924
-116.18411_33.69278	0.0313494000970669	0.0594514786705788
-116.23876_40.66257	0.0433041507621287	0.0582771113646274
-116.86432_33.92321	0.0116701461883006	0.0697270428852468
-117.45148_34.24976	0.0207713922722582	0.0767731215206553
-118.27904_37.17346	0.0503502498691869	0.069873857174508
-118.40646_37.43321	0.0459464379272755	0.0703141973391852
-119.07235_34.75087	0.0077800814693044	0.075745565400876
-119.73895_38.67722	0.0560752053936717	0.0785346462974199
-119.9363_38.7892	0.0512310122575692	0.0798557898799933
-119.99511_39.48892	0.0340561456841148	0.0637084794263182
-120.31654_36.24542	0.0488824130174093	0.0391205523886689
-120.75822_36.59499	0.0415426991662858	0.0660571791286709
-121.63765_38.56535	0.0152665704764015	0.0653232104716857
-96.05867_42.24842	0.0819109021195519	0.019083185081616
-96.58348_28.66061	0.0864615077928604	0.0838192698458909
-97.06011_28.08852	0.091746082123154	0.0904984416866053
-97.24526_27.63854	0.0824980770451401	0.0962967726138143
-97.36547_32.92224	0.0682590850996266	0.0604790173355831
-97.39837_29.11355	0.0550476492738924	0.0822779589177484
-97.65574_29.73315	0.0242209656805127	0.0747180092810966
-97.66729_27.28522	0.0750115967438907	0.0685526725624207
-97.66801_27.77652	0.10040691227558	0.0880762388382279
-97.67443_28.24166	0.0929204319743304	0.0826448707765371
-97.77181_26.50251	0.0625341295751418	0.0726629183751519
-97.9179_37.45911	0.0651764167402886	0.0593046674844068
-98.22242_36.80874	0.0769199152520523	0.0640020668891123
-98.63231_38.44118	0.0619469546495536	0.063268098232127
-98.66459_37.23327	0.0880762388382279	0.0654700042030827
-99.01808_29.05186	0.0195235662758072	0.0822779106045912
-99.06605_39.68894	0.0681122913682295	0.0483685628970597
