Taxon_name,Pop_ID,Sample_name,Country,Pool_Size,Lat,Long,Alt,Author,Data_type,
Cardamine resedifolia,Cre,Cre03,Switzerland,40,46.57955,9.81853,2201,Rellstab,PoolSeq,
Cardamine resedifolia,Cre,Cre12,Switzerland,40,46.48544,9.77279,2863,Rellstab,PoolSeq,
Cardamine resedifolia,Cre,Cre13,Switzerland,40,46.55621,8.82969,2422,Rellstab,PoolSeq,
Cardamine resedifolia,Cre,Cre14,Switzerland,40,46.3906,9.10911,1826,Rellstab,PoolSeq,
Cardamine resedifolia,Cre,Cre18,Switzerland,40,45.98368,7.78689,3111,Rellstab,PoolSeq,
Cardamine resedifolia,Cre,Cre20,Switzerland,40,46.18153,7.6932,2004,Rellstab,PoolSeq,
