Taxon_name,Pop_ID,Sample_name,Country,Pool_Size,Lat,Long,Alt,Author,Data_type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus magnificata,Cheyenne,Eucalyptus_magnificata_Cheyenne_TLC914,Australia,,-30.814624,151.859377,,Murray,WGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus magnificata,Cheadle,Eucalyptus_magnificata_Cheadle_TLC909,Australia,,-30.860565,151.891859,,Murray,WGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus magnificata,Cheadle,Eucalyptus_magnificata_Cheadle_TLC908,Australia,,-30.86045,151.891704,,Murray,WGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus magnificata,Long,Eucalyptus_magnificata_Long_TLC831,Australia,,-30.616075,151.938129,,Murray,WGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus magnificata,Long,Eucalyptus_magnificata_Long_TLC830,Australia,,-30.616203,151.938109,,Murray,WGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus magnificata,Long,Eucalyptus_magnificata_Long_TLC827,Australia,,-30.614479,151.940761,,Murray,WGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus magnificata,Hillgrove,Eucalyptus_magnificata_Hillgrove_TLC807,Australia,,-30.576039,151.90429,,Murray,WGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus magnificata,Metz,Eucalyptus_magnificata_Metz_TLC764,Australia,,-30.574335,151.885239,,Murray,WGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus magnificata,Metz,Eucalyptus_magnificata_Metz_TLC761,Australia,,-30.5748,151.884278,,Murray,WGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus magnificata,Metz,Eucalyptus_magnificata_Metz_TLC760,Australia,,-30.574908,151.884066,,Murray,WGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
