Taxon_name,Pop_ID,Sample_name,Country,Pool_Size,Lat,Long,Alt,Author,Data_type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larix occidentalis,,WL_p391,,40,49.53,-119.12,1189,CoAdapTree,PoolSeq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larix occidentalis,,WL_p392,,40,50.6,-119.25,680,CoAdapTree,PoolSeq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larix occidentalis,,WL_p402,,40,49.3,-115.82,954,CoAdapTree,PoolSeq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larix occidentalis,,WL_p403,,40,49.42,-115.95,1067,CoAdapTree,PoolSeq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larix occidentalis,,WL_p404,,40,49.43,-115.7,1341,CoAdapTree,PoolSeq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larix occidentalis,,WL_p406,,40,50.4,-115.6,1000,CoAdapTree,PoolSeq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larix occidentalis,,WL_p409,,40,50.27,-115.48,1250,CoAdapTree,PoolSeq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larix occidentalis,,WL_p410,,40,50.55,-115.77,1151,CoAdapTree,PoolSeq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larix occidentalis,,WL_p413,,40,50.03,-115.62,1151,CoAdapTree,PoolSeq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larix occidentalis,,BWL_p5,,40,50.7833333,-119.08333,800,CoAdapTree,PoolSeq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larix occidentalis,,BWL_p10,,40,50.275,-120.9,1285,CoAdapTree,PoolSeq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larix occidentalis,,BWL_p15,,40,49.1333333,-119.2,1600,CoAdapTree,PoolSeq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larix occidentalis,,BWL_p20,,40,49.85,-116.85,650,CoAdapTree,PoolSeq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larix occidentalis,,BWL_p34,,40,49.8325,-117.83361,865,CoAdapTree,PoolSeq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
