Taxon_name,Pop_ID,Sample_name,Country,Pool_Size,Lat,Long,Alt,Author,Data_type,
Arabidopsis thaliana,,Athal_VALE-A,France,15,44.0223,2.4034,459,Roux,PoolSeq,
Arabidopsis thaliana,,Athal_VICT-B,France,16,44.0522,2.834,629,Roux,PoolSeq,
Arabidopsis thaliana,,Athal_VICT-C,France,16,44.0522,2.834,629,Roux,PoolSeq,
Arabidopsis thaliana,,Athal_VIEL-A,France,16,43.6238,2.0896,155,Roux,PoolSeq,
Arabidopsis thaliana,,Athal_VILLA-A,France,16,43.4582,1.381,169,Roux,PoolSeq,
Arabidopsis thaliana,,Athal_VILLE-A,France,16,43.4398,1.671,188,Roux,PoolSeq,
Arabidopsis thaliana,,Athal_VILLE-B,France,16,43.4403,1.6696,187,Roux,PoolSeq,
Arabidopsis thaliana,,Athal_VILLE-C,France,16,43.44,1.6701,188,Roux,PoolSeq,
Arabidopsis thaliana,,Athal_VILLE-D,France,16,43.4397,1.6707,188,Roux,PoolSeq,
Arabidopsis thaliana,,Athal_VILLEM-A,France,16,43.2738,0.3212,326,Roux,PoolSeq,
