pop	prec_clim_change	tmax_clim_change
49.4_58.36	0.0543136806169072	0.0519649809145544
58.42_57.14	0.0223126471723511	0.0440381323485769
58.52_55.34	0.0211382973211747	0.0540200931541131
58.5_54.2	0.0258356967258802	0.053873346873887
60.35_56.5	0.00117434985117637	0.0501300887081817
64.37_57.03	0.0192299788130131	0.0368452265806587
65.03_63.93	0.0339093519527177	0.0469739940470549
65.61_64.7	0.00587174925588186	0.0502034856169785
65.91_65.91	0.00146793731397046	0.060038636141392
66.09_62.45	0.0226062346351452	0.0383131751432619
68.38_58.17	0.0262760779200713	0.0256889029944831
69.25_61.05	0.00616533671867595	0.0312670647875709
87.98_65.79	0.0512310122575692	0.0365516391178646
90.05_61.76	0.143270681843517	0.0342029494573947
90.22_60.24	0.131086802137562	0.0353772892666882
92.2_58.45	0.0546072680797013	0.0386067513574232
92.76_55.99	0.0236337907549245	0.0456528504644814
