Taxon_name,Pop_ID,Sample_name,Country,Pool_Size,Lat,Long,Alt,Author,Data_type,,
Populus deltoides,29,Pdeltoides_UF0092,USA,,30.2,-94.92,38,Kirst,Capture,,
Populus deltoides,2,Pdeltoides_UF0094,USA,,30.5,-84.01,42,Kirst,Capture,,
Populus deltoides,28,Pdeltoides_UF0095,USA,,30.75,-91.75,12,Kirst,Capture,,
Populus deltoides,28,Pdeltoides_UF0096,USA,,30.75,-91.75,12,Kirst,Capture,,
Populus deltoides,28,Pdeltoides_UF0097,USA,,30.67,-91.75,12,Kirst,Capture,,
Populus deltoides,35,Pdeltoides_UF0100,USA,,33.83,-95,124,Kirst,Capture,,
Populus deltoides,35,Pdeltoides_UF0101,USA,,33.83,-95,124,Kirst,Capture,,
Populus deltoides,35,Pdeltoides_UF0103,USA,,33.92,-95.33,133,Kirst,Capture,,
Populus deltoides,40,Pdeltoides_UF0105,USA,,35.42,-94.67,176,Kirst,Capture,,
Populus deltoides,43,Pdeltoides_UF0106,USA,,35.48,-93.82,152,Kirst,Capture,,
Populus deltoides,32,Pdeltoides_UF0108,USA,,33.22,-96.42,175,Kirst,Capture,,
Populus deltoides,21,Pdeltoides_UF0109,USA,,33.18,-91.08,35,Kirst,Capture,,
Populus deltoides,28,Pdeltoides_UF0110,USA,,30.53,-91.8,13,Kirst,Capture,,
Populus deltoides,23,Pdeltoides_UF0112,USA,,34.95,-90.25,60,Kirst,Capture,,
Populus deltoides,23,Pdeltoides_UF0113,USA,,34.72,-90.57,55,Kirst,Capture,,
Populus deltoides,22,Pdeltoides_UF0114,USA,,33.92,-91.05,50,Kirst,Capture,,
Populus deltoides,22,Pdeltoides_UF0115,USA,,33.77,-91.12,41,Kirst,Capture,,
Populus deltoides,22,Pdeltoides_UF0116,USA,,33.75,-91.13,45,Kirst,Capture,,
Populus deltoides,22,Pdeltoides_UF0117,USA,,33.5,-91.17,43,Kirst,Capture,,
Populus deltoides,21,Pdeltoides_UF0118,USA,,33.03,-91.15,33,Kirst,Capture,,
Populus deltoides,20,Pdeltoides_UF0119,USA,,32.87,-91.1,31,Kirst,Capture,,
Populus deltoides,20,Pdeltoides_UF0120,USA,,32.75,-91.15,30,Kirst,Capture,,
Populus deltoides,20,Pdeltoides_UF0121,USA,,32.12,-91.12,28,Kirst,Capture,,
Populus deltoides,19,Pdeltoides_UF0123,USA,,31.98,-91.12,31,Kirst,Capture,,
Populus deltoides,19,Pdeltoides_UF0125,USA,,31.87,-91.28,22,Kirst,Capture,,
Populus deltoides,19,Pdeltoides_UF0127,USA,,31.62,-91.52,21,Kirst,Capture,,
Populus deltoides,19,Pdeltoides_UF0128,USA,,31.62,-91.52,21,Kirst,Capture,,
Populus deltoides,25,Pdeltoides_UF0129,USA,,30.98,-91.67,19,Kirst,Capture,,
Populus deltoides,25,Pdeltoides_UF0130,USA,,30.98,-91.67,19,Kirst,Capture,,
Populus deltoides,25,Pdeltoides_UF0131,USA,,30.62,-91.3,12,Kirst,Capture,,
Populus deltoides,24,Pdeltoides_UF0132,USA,,36.14,-89.63,79,Kirst,Capture,,
Populus deltoides,44,Pdeltoides_UF0133,USA,,37.08,-97,348,Kirst,Capture,,
Populus deltoides,27,Pdeltoides_UF0138,USA,,36.4,-88.79,112,Kirst,Capture,,
Populus deltoides,26,Pdeltoides_UF0139,USA,,35.99,-89.28,84,Kirst,Capture,,
Populus deltoides,26,Pdeltoides_UF0140,USA,,35.99,-89.28,84,Kirst,Capture,,
Populus deltoides,26,Pdeltoides_UF0141,USA,,35.99,-89.28,84,Kirst,Capture,,
Populus deltoides,1,Pdeltoides_UF0142,USA,,30.7,-84.86,40,Kirst,Capture,,
Populus deltoides,1,Pdeltoides_UF0143,USA,,30.17,-85.13,19,Kirst,Capture,,
Populus deltoides,1,Pdeltoides_UF0144,USA,,30.41,-85.24,39,Kirst,Capture,,
Populus deltoides,1,Pdeltoides_UF0145,USA,,30.41,-85.24,39,Kirst,Capture,,
Populus deltoides,1,Pdeltoides_UF0146,USA,,30.41,-85.24,39,Kirst,Capture,,
Populus deltoides,2,Pdeltoides_UF0147,USA,,30.49,-84.4,42,Kirst,Capture,,
Populus deltoides,2,Pdeltoides_UF0149,USA,,30.49,-84.4,42,Kirst,Capture,,
Populus deltoides,10,Pdeltoides_UF0153,USA,,32.93,-85.2,198,Kirst,Capture,,
Populus deltoides,8,Pdeltoides_UF0154,USA,,32.11,-87.17,34,Kirst,Capture,,
Populus deltoides,8,Pdeltoides_UF0155,USA,,32.11,-87.17,34,Kirst,Capture,,
Populus deltoides,13,Pdeltoides_UF0156,USA,,31.27,-87.96,15,Kirst,Capture,,
Populus deltoides,13,Pdeltoides_UF0157,USA,,31.27,-87.96,15,Kirst,Capture,,
Populus deltoides,17,Pdeltoides_UF0163,USA,,33.52,-88.49,53,Kirst,Capture,,
Populus deltoides,21,Pdeltoides_UF0165,USA,,33.25,-91,33,Kirst,Capture,,
Populus deltoides,21,Pdeltoides_UF0166,USA,,33.25,-91,33,Kirst,Capture,,
Populus deltoides,34,Pdeltoides_UF0167,USA,,33.5,-94.08,110,Kirst,Capture,,
Populus deltoides,22,Pdeltoides_UF0169,USA,,33.78,-91,44,Kirst,Capture,,
Populus deltoides,20,Pdeltoides_UF0171,USA,,32.62,-91,34,Kirst,Capture,,
Populus deltoides,20,Pdeltoides_UF0172,USA,,32.65,-91.03,33,Kirst,Capture,,
Populus deltoides,20,Pdeltoides_UF0173,USA,,32.62,-91.02,33,Kirst,Capture,,
Populus deltoides,20,Pdeltoides_UF0174,USA,,32.65,-91.03,33,Kirst,Capture,,
Populus deltoides,22,Pdeltoides_UF0177,USA,,33.67,-91.17,49,Kirst,Capture,,
Populus deltoides,20,Pdeltoides_UF0178,USA,,32.73,-91.05,32,Kirst,Capture,,
Populus deltoides,22,Pdeltoides_UF0179,USA,,34.13,-90.8,47,Kirst,Capture,,
Populus deltoides,20,Pdeltoides_UF0180,USA,,32.45,-90.95,33,Kirst,Capture,,
Populus deltoides,20,Pdeltoides_UF0182,USA,,32.62,-91,34,Kirst,Capture,,
Populus deltoides,20,Pdeltoides_UF0184,USA,,32.62,-91,34,Kirst,Capture,,
Populus deltoides,20,Pdeltoides_UF0185,USA,,32.65,-91.03,33,Kirst,Capture,,
Populus deltoides,47,Pdeltoides_UF0189,USA,,30.5,-96.3,77,Kirst,Capture,,
Populus deltoides,29,Pdeltoides_UF0190,USA,,30.2,-94.92,38,Kirst,Capture,,
Populus deltoides,20,Pdeltoides_UF0191,USA,,32.62,-91,34,Kirst,Capture,,
Populus deltoides,23,Pdeltoides_UF0192,USA,,35.67,-89.84,74,Kirst,Capture,,
Populus deltoides,19,Pdeltoides_UF0193,USA,,32.05,-91.07,22,Kirst,Capture,,
Populus deltoides,25,Pdeltoides_UF0197,USA,,30.32,-91.22,11,Kirst,Capture,,
Populus deltoides,15,Pdeltoides_UF0202,USA,,32.52,-87.88,35,Kirst,Capture,,
