pop	prec_clim_change	tmax_clim_change
-100_33.08	0.0137986107513224	0.0575431427076422
-78.63_35.75	0.0904249385405806	0.0745712155496996
-80.03_34.96	0.0794154086858021	0.0814705209253608
-80.22_32.87	0.000440381194191139	0.0981316382500789
-80.56_32.8	0.00807365522683755	0.094755381436688
-80.88_34.94	0.0679654976368325	0.0704609910705823
-83.3_33.7	0.044184913150511	0.0863147140614633
-84.01_30.5	0.044184913150511	0.087048708275687
-84.4_30.49	0.0424233883737464	0.0832320701388104
-84.86_30.7	0.0418362134481582	0.0782411047773378
-85.13_30.17	0.0463868191214667	0.0818375292811054
-85.24_30.41	0.0468272003156578	0.0776539295069638
-85.2_32.93	0.0270100465770565	0.0705344086449707
-85.42_31.07	0.0465336128528637	0.0698738161449941
-86.09_34.62	0.120370859745578	0.0673049653666217
-86.64_32.21	0.107746598845432	0.0626809233065388
-86.93_34.54	0.139013663633003	0.0551944430052895
-87.17_32.11	0.107453011382638	0.0560752053936717
-87.69_31.62	0.119490097357196	0.0525521558401426
-87.88_32.52	0.131820770794548	0.0494694874808047
-87.96_31.27	0.115086285415284	0.0616533671867595
-88.42_34.32	0.128004133778225	0.0328817958329384
-88.49_33.52	0.151491130801752	0.0402214942117002
-88.79_33.48	0.156922498863443	0.0403682879861955
-88.79_36.4	0.134022676765503	0.0361112685258331
-89.28_35.99	0.122425971985137	0.0283311984775845
-89.63_36.14	0.103342786903521	0.031560652250365
-89.84_35.67	0.103489580634918	0.02833119015963
-90.17_35.25	0.0835256331649194	0.0224594409037481
-90.25_34.95	0.100847293469771	0.0236337907549245
-90.57_34.72	0.0970306564534477	0.0239273782177186
-90.87_34.08	0.124921465418887	0.0339093519527177
-90.8_30	0.0563687928564658	0.0770667089834494
-90.8_34.13	0.119636891088593	0.0330285895643355
-90.95_32.45	0.16602371021006	0.0391939262830114
-90.97_32.27	0.162647454387927	0.0418362134481582
-91.02_30.15	0.0656167979344798	0.0773602964462435
-91.02_32.62	0.167932028718221	0.0375791952376439
-91.03_32.65	0.169840347226383	0.0372856077748498
-91.03_33.95	0.128150927509622	0.0352304955352911
-91.05_32.73	0.169840347226383	0.0359644641922764
-91.05_33.92	0.129912452286386	0.0342029494573947
-91.07_32.05	0.168372409912412	0.0413958322539671
-91.08_32.92	0.170427522151971	0.0400013152942299
-91.08_33.18	0.173510190511309	0.0450657020012058
-91.08_33.81	0.134609851691092	0.0362580516550705
-91.09_32.03	0.166757678867045	0.040955451059776
-91.12_31.98	0.167198060061236	0.0413958322539671
-91.12_32.12	0.166464091404251	0.0415426259853641
-91.12_32.85	0.169840347226383	0.0389003502412429
-91.12_33.77	0.138132901244621	0.0369920203120557
-91.13_33.75	0.140481600946973	0.0368452265806587
-91.15_32.75	0.170280728420574	0.0375791952376439
-91.15_33.03	0.169546759763589	0.042643604010913
-91.17_30.42	0.079121821223008	0.0714885681791898
-91.17_33.1	0.166170503941457	0.0438913385740817
-91.17_33.5	0.151637924533149	0.040955451059776
-91.17_33.67	0.143270681843517	0.0384599576260262
-91.1_32.87	0.169840347226383	0.0389003502412429
-91.22_30.32	0.072662897041538	0.0783878755804669
-91.28_31.87	0.173803777974103	0.0419830071795553
-91.32_30.6	0.0849935704788899	0.0657636109738749
-91.3_30.62	0.0849935704788899	0.0657636109738749
-91.52_31.62	0.14811487497962	0.0463868191214667
-91.58_31.17	0.121985590790946	0.0529925370343338
-91.67_30.98	0.100553706006977	0.0584239050960245
-91.75_30.67	0.0877826513754338	0.0657636109738749
-91.75_30.75	0.0888102074952131	0.0647360545524081
-91.8_30.53	0.0813237271939637	0.0725161033101409
-91_32.62	0.16749164752403	0.0384599576260262
-91_33.25	0.174097365436897	0.0441849390956448
-91_33.78	0.13519702661668	0.0374324015062468
-93.78_33.58	0.0832320457021253	0.0381663701632321
-93.82_35.48	0.0913057009289629	0.0311202710561738
-93.83_33.17	0.0829384582393312	0.0469739940470549
-94.08_33.5	0.0861679203300663	0.0424233883737464
-94.29_33.55	0.0830852519707283	0.0430105632993346
-94.45_35.45	0.0907185260033747	0.0369920203120557
-94.67_35.42	0.091599288391757	0.0440381194191139
-94.75_33.75	0.0832320457021253	0.0463868191214667
-94.92_30.2	0.0535797119599219	0.0780942651032287
-95.33_33.92	0.0888102074952131	0.044331706881908
-95.45_29.15	0.0578367301704363	0.0847734296602487
-95.67_33.92	0.0967370689906536	0.050643837331981
-95.67_35.75	0.124040703030504	0.0551944430052895
-95.75_32.58	0.0579835239018333	0.0534329182285249
-95.78_35.88	0.126829783927048	0.056809174050657
-95.83_31.62	0.0638552731577152	0.0640020668891123
-95_33.83	0.0873422701812426	0.0452124692702903
-96.12_35.03	0.103929961829109	0.0547540618110983
-96.17_30.25	0.0576899364390393	0.0675251164426414
-96.25_35	0.104810724217491	0.056809174050657
-96.27_32.5	0.0810301397311696	0.0566623803192599
-96.3_30.5	0.0560752053936717	0.0657635916658768
-96.42_30.58	0.0606258110669802	0.0651764167402886
-96.42_33.22	0.106719042725653	0.0575431427076422
-96.57_33.82	0.114058729295505	0.0581303176332304
-96.62_32.58	0.0870486827184485	0.0553412367366865
-96.97_33.92	0.105104311680285	0.0598918424099949
-97.37_31.75	0.0623873358437447	0.0595982549472009
-97.6_35.32	0.0892505886894042	0.0546072680797013
-97.92_35.4	0.0819109021195519	0.0571027615134511
-97_37.08	0.0908653197347717	0.0591578737530097
-98.58_33	0.0041102244791173	0.0667911477856561
