## METRICS CLASS	picard.analysis.CollectWgsMetricsWithNonZeroCoverage$WgsMetricsWithNonZeroCoverage
CATEGORY	GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	FOLD_80_BASE_PENALTY	FOLD_90_BASE_PENALTY	FOLD_95_BASE_PENALTY	HET_SNP_SENSITIVITY	HET_SNP_Q
NON_ZERO_REGIONS	98470650	4.411497	7.148108	2	1	0	0.017042	0	0.000351	0.018978	0.054421	0.011832	0.102625	1	0.255836	0.134489	0.076385	0.041903	0.021426	0.010452	0.002772	0.001224	0.00076	0.000554	0.000437	0.000367	0.000315	4.411497	4.411497	4.411497	0.654191	5	Pobovata_BOR_2
WHOLE_GENOME	12018808399	0.031002	0.638496	0	0	0	0.018499	0	0.000402	0.019607	0.048532	0.008049	0.095087	0.007929	0.001892	0.000913	0.000455	0.000206	0.000086	0.000036	0.00001	0.000006	0.000004	0.000003	0.000002	0.000002	0.000002	?	?	?	0.005164	0	Pobovata_BOR_3
NON_ZERO_REGIONS	95294254	3.910026	6.020835	1	0	0	0.018499	0	0.000402	0.019607	0.048532	0.008049	0.095087	1	0.238685	0.115119	0.057324	0.025975	0.010807	0.004545	0.001316	0.000718	0.000496	0.000373	0.000302	0.000257	0.000223	3.910026	3.910026	3.910026	0.643416	4	Pobovata_BOR_3
WHOLE_GENOME	12018808399	0.0364	0.725233	0	0	0	0.022323	0	0.000347	0.014341	0.073097	0.012944	0.123052	0.009237	0.00218	0.001065	0.000549	0.000252	0.000105	0.000048	0.000018	0.00001	0.000007	0.000005	0.000004	0.000003	0.000003	?	?	?	0.006064	0	Pobovata_BOR_4
NON_ZERO_REGIONS	111013119	3.940817	6.446447	1	0	0	0.022323	0	0.000347	0.014341	0.073097	0.012944	0.123052	1	0.235983	0.115353	0.059431	0.027275	0.011412	0.005188	0.001982	0.001097	0.000729	0.000537	0.000429	0.00036	0.000316	3.940817	3.940817	3.940817	0.64988	5	Pobovata_BOR_4
WHOLE_GENOME	12018808399	0.025336	0.552953	0	0	0	0.022512	0	0.000379	0.014811	0.079399	0.040257	0.157357	0.007755	0.001591	0.000589	0.000198	0.000067	0.000032	0.00002	0.000011	0.000007	0.000005	0.000004	0.000003	0.000003	0.000002	?	?	?	0.005039	0	Pobovata_BOR_5
NON_ZERO_REGIONS	93199882	3.267221	5.370068	1	0	0	0.022512	0	0.000379	0.014811	0.079399	0.040257	0.157357	1	0.205192	0.076012	0.025548	0.008631	0.004126	0.002635	0.001426	0.000878	0.000618	0.000482	0.000399	0.000341	0.000301	3.267221	3.267221	3.267221	0.643277	4	Pobovata_BOR_5
WHOLE_GENOME	12018808399	0.028511	0.61211	0	0	0	0.016461	0	0.000438	0.020173	0.054409	0.013533	0.105013	0.007175	0.001774	0.00083	0.0004	0.000177	0.000073	0.000031	0.00001	0.000005	0.000004	0.000003	0.000002	0.000002	0.000002	?	?	?	0.004733	0	Pobovata_BOR_6
NON_ZERO_REGIONS	86235465	3.973599	6.045126	2	1	0	0.016461	0	0.000438	0.020173	0.054409	0.013533	0.105013	1	0.247304	0.115728	0.055745	0.024618	0.010239	0.004375	0.001419	0.000757	0.000508	0.000391	0.000322	0.000276	0.000244	3.973599	3.973599	3.973599	0.651766	5	Pobovata_BOR_6
WHOLE_GENOME	12018808399	0.035751	0.72918	0	0	0	0.01821	0	0.000377	0.018841	0.051347	0.008611	0.097385	0.008451	0.002093	0.001089	0.000606	0.000318	0.000152	0.000068	0.000018	0.000009	0.000005	0.000004	0.000003	0.000003	0.000002	?	?	?	0.005547	0	Pobovata_BOR_7
NON_ZERO_REGIONS	101571508	4.230406	6.720905	1	0	0	0.01821	0	0.000377	0.018841	0.051347	0.008611	0.097385	1	0.247605	0.128841	0.071682	0.037595	0.017959	0.008039	0.002077	0.001014	0.00065	0.000476	0.000371	0.000305	0.000259	4.230406	4.230406	4.230406	0.648941	5	Pobovata_BOR_7
WHOLE_GENOME	12018808399	0.035713	0.697317	0	0	0	0.020269	0	0.000463	0.020894	0.038449	0.012624	0.092699	0.008974	0.002172	0.001043	0.000531	0.000251	0.00011	0.000047	0.000014	0.000007	0.000005	0.000004	0.000003	0.000002	0.000002	?	?	?	0.005851	0	Pobovata_BOR_9
NON_ZERO_REGIONS	107856912	3.979656	6.203935	2	1	0	0.020269	0	0.000463	0.020894	0.038449	0.012624	0.092699	1	0.241978	0.116229	0.059175	0.028007	0.01225	0.005271	0.001583	0.000824	0.000557	0.000414	0.000332	0.000272	0.000236	3.979656	3.979656	3.979656	0.643251	4	Pobovata_BOR_9
WHOLE_GENOME	12018808399	0.026314	0.556555	0	0	0	0.016747	0	0.000363	0.018374	0.057135	0.008069	0.100688	0.007133	0.001666	0.000741	0.000321	0.000122	0.000044	0.000018	0.000007	0.000004	0.000003	0.000002	0.000002	0.000002	0.000001	?	?	?	0.004676	0	Pobovata_EKA_11
NON_ZERO_REGIONS	85724444	3.689237	5.469458	2	1	0	0.016747	0	0.000363	0.018374	0.057135	0.008069	0.100688	1	0.233529	0.103907	0.045013	0.017128	0.006134	0.002555	0.00099	0.000594	0.000413	0.000321	0.000254	0.000212	0.000184	3.689237	3.689237	3.689237	0.648257	5	Pobovata_EKA_11
WHOLE_GENOME	12018808399	0.029973	0.631576	0	0	0	0.017902	0	0.000341	0.018896	0.057964	0.01747	0.112572	0.007736	0.001832	0.000872	0.000428	0.00019	0.000078	0.000033	0.000011	0.000006	0.000004	0.000003	0.000003	0.000002	0.000002	?	?	?	0.005053	0	Pobovata_EKA_12
NON_ZERO_REGIONS	92982813	3.874197	6.055273	1	0	0	0.017902	0	0.000341	0.018896	0.057964	0.01747	0.112572	1	0.236763	0.112744	0.055269	0.024602	0.010071	0.004329	0.00143	0.000796	0.000535	0.000414	0.000337	0.000286	0.00025	3.874197	3.874197	3.874197	0.645437	5	Pobovata_EKA_12
WHOLE_GENOME	12018808399	0.040985	0.823916	0	0	0	0.017554	0	0.000375	0.019545	0.054231	0.012073	0.103777	0.009166	0.00231	0.001238	0.000733	0.000426	0.000232	0.000117	0.000031	0.000012	0.000007	0.000005	0.000004	0.000003	0.000003	?	?	?	0.006046	0	Pobovata_EKA_14
NON_ZERO_REGIONS	110164604	4.471432	7.365445	2	1	0	0.017554	0	0.000375	0.019545	0.054231	0.012073	0.103777	1	0.251965	0.135076	0.079949	0.046477	0.025265	0.012784	0.003359	0.001343	0.000789	0.000558	0.000438	0.000368	0.000323	4.471432	4.471432	4.471432	0.651626	5	Pobovata_EKA_14
WHOLE_GENOME	12018808399	0.033079	0.730893	0	0	0	0.015824	0	0.000258	0.016994	0.080982	0.015822	0.129881	0.007324	0.001896	0.001031	0.000604	0.000336	0.000172	0.000083	0.000021	0.000009	0.000005	0.000004	0.000003	0.000003	0.000002	?	?	?	0.004884	0	Pobovata_EKA_15
NON_ZERO_REGIONS	88021321	4.516759	7.258852	2	1	0	0.015824	0	0.000258	0.016994	0.080982	0.015822	0.129881	1	0.258912	0.140716	0.082487	0.045903	0.023509	0.011364	0.002855	0.001219	0.000749	0.000543	0.00043	0.000358	0.000305	4.516759	4.516759	4.516759	0.660415	5	Pobovata_EKA_15
WHOLE_GENOME	12018808399	0.030665	0.645591	0	0	0	0.016408	0	0.000352	0.019168	0.056667	0.008473	0.101067	0.007565	0.001866	0.000915	0.000468	0.000222	0.000095	0.00004	0.000011	0.000005	0.000004	0.000003	0.000002	0.000002	0.000002	?	?	?	0.004989	0	Pobovata_EKA_16
NON_ZERO_REGIONS	90921517	4.053599	6.227952	2	1	0	0.016408	0	0.000352	0.019168	0.056667	0.008473	0.101067	1	0.246682	0.120931	0.061919	0.029321	0.012616	0.005277	0.001415	0.000708	0.000499	0.000386	0.000317	0.000268	0.00023	4.053599	4.053599	4.053599	0.651829	5	Pobovata_EKA_16
WHOLE_GENOME	12018808399	0.031245	0.661622	0	0	0	0.016223	0	0.000343	0.01851	0.057088	0.009009	0.101173	0.007417	0.001893	0.000955	0.000505	0.000248	0.00011	0.000047	0.000012	0.000006	0.000004	0.000003	0.000002	0.000002	0.000002	?	?	?	0.004927	0	Pobovata_EKA_17
NON_ZERO_REGIONS	89146616	4.212407	6.43461	2	1	0	0.016223	0	0.000343	0.01851	0.057088	0.009009	0.101173	1	0.255195	0.128711	0.068096	0.03344	0.014839	0.006364	0.001668	0.000783	0.000527	0.000393	0.000314	0.00026	0.000224	4.212407	4.212407	4.212407	0.657152	5	Pobovata_EKA_17
WHOLE_GENOME	12018808399	0.027398	0.590456	0	0	0	0.016062	0	0.000372	0.018832	0.055731	0.011825	0.102823	0.007108	0.001706	0.000798	0.000375	0.000157	0.00006	0.000024	0.000008	0.000005	0.000003	0.000003	0.000002	0.000002	0.000002	?	?	?	0.004673	0	Pobovata_EKA_18
NON_ZERO_REGIONS	85425385	3.854659	5.856479	2	1	0	0.016062	0	0.000372	0.018832	0.055731	0.011825	0.102823	1	0.240064	0.112307	0.05272	0.022047	0.008414	0.003393	0.00109	0.000644	0.000462	0.000369	0.000306	0.000265	0.000229	3.854659	3.854659	3.854659	0.65024	5	Pobovata_EKA_18
WHOLE_GENOME	12018808399	0.047165	0.937309	0	0	0	0.017401	0	0.000358	0.018472	0.053701	0.014238	0.104171	0.009768	0.002513	0.001426	0.00091	0.000582	0.000358	0.000208	0.00006	0.00002	0.00001	0.000007	0.000005	0.000004	0.000003	?	?	?	0.006454	0	Pobovata_EKA_19
NON_ZERO_REGIONS	117403119	4.828384	8.176385	1	0	0	0.017401	0	0.000358	0.018472	0.053701	0.014238	0.104171	1	0.25728	0.146004	0.093166	0.059621	0.036645	0.021275	0.006191	0.002062	0.001054	0.00069	0.000511	0.000407	0.000336	4.828384	4.828384	4.828384	0.653057	5	Pobovata_EKA_19
WHOLE_GENOME	12018808399	0.029496	0.643721	0	0	0	0.01594	0	0.000332	0.021561	0.062482	0.013355	0.11367	0.007516	0.001777	0.000871	0.00044	0.000204	0.000086	0.000036	0.000011	0.000006	0.000004	0.000003	0.000003	0.000002	0.000002	?	?	?	0.004889	0	Pobovata_EKA_1
NON_ZERO_REGIONS	90332054	3.924479	6.312496	1	0	0	0.01594	0	0.000332	0.021561	0.062482	0.013355	0.11367	1	0.236417	0.115897	0.05853	0.027094	0.011378	0.004801	0.0014	0.000771	0.000555	0.000451	0.000385	0.000332	0.000293	3.924479	3.924479	3.924479	0.642282	4	Pobovata_EKA_1
WHOLE_GENOME	12018808399	0.03604	0.771445	0	0	0	0.015499	0	0.000328	0.017759	0.074324	0.012467	0.120378	0.00782	0.00204	0.001112	0.000666	0.000387	0.000209	0.000106	0.000027	0.00001	0.000006	0.000004	0.000003	0.000003	0.000002	?	?	?	0.005221	0	Pobovata_EKA_20
NON_ZERO_REGIONS	93981324	4.60903	7.418282	2	1	0	0.015499	0	0.000328	0.017759	0.074324	0.012467	0.120378	1	0.26087	0.142207	0.085164	0.049483	0.026765	0.013576	0.003456	0.001312	0.000757	0.000535	0.000416	0.000341	0.000293	4.60903	4.60903	4.60903	0.660856	5	Pobovata_EKA_20
WHOLE_GENOME	12018808399	0.026909	0.558311	0	0	0	0.017397	0	0.000444	0.022323	0.035863	0.009699	0.085727	0.007637	0.001721	0.000702	0.000277	0.000098	0.000035	0.000016	0.000007	0.000005	0.000004	0.000003	0.000002	0.000002	0.000002	?	?	?	0.004918	0	Pobovata_EKA_2
NON_ZERO_REGIONS	91786749	3.523556	5.338129	2	1	0	0.017397	0	0.000444	0.022323	0.035863	0.009699	0.085727	1	0.22537	0.091861	0.036238	0.012816	0.004631	0.002115	0.00093	0.000617	0.00046	0.000373	0.00031	0.000272	0.000238	3.523556	3.523556	3.523556	0.635087	4	Pobovata_EKA_2
WHOLE_GENOME	12018808399	0.023865	0.507306	0	0	0	0.017677	0	0.000457	0.021168	0.043312	0.010984	0.093597	0.007033	0.001527	0.000604	0.000228	0.000076	0.000027	0.000012	0.000005	0.000003	0.000002	0.000002	0.000002	0.000001	0.000001	?	?	?	0.00453	0	Pobovata_EKA_3
NON_ZERO_REGIONS	84526197	3.393366	5.015981	1	0	0	0.017677	0	0.000457	0.021168	0.043312	0.010984	0.093597	1	0.217156	0.085835	0.032383	0.01084	0.003823	0.001763	0.00072	0.000472	0.000353	0.000279	0.000233	0.000205	0.000186	3.393366	3.393366	3.393366	0.635377	4	Pobovata_EKA_3
WHOLE_GENOME	12018808399	0.0286	0.600683	0	0	0	0.018557	0	0.00034	0.017346	0.066245	0.014324	0.116812	0.007827	0.001756	0.000813	0.000374	0.00015	0.000056	0.000024	0.000009	0.000005	0.000004	0.000003	0.000002	0.000002	0.000002	?	?	?	0.005093	0	Pobovata_EKA_4
NON_ZERO_REGIONS	94077107	3.653726	5.731604	1	0	0	0.018557	0	0.00034	0.017346	0.066245	0.014324	0.116812	1	0.224392	0.103842	0.047787	0.019102	0.007136	0.003037	0.001112	0.00066	0.000467	0.000364	0.000302	0.000262	0.000228	3.653726	3.653726	3.653726	0.643409	4	Pobovata_EKA_4
WHOLE_GENOME	12018808399	0.031915	0.654446	0	0	0	0.018183	0	0.000421	0.019772	0.04378	0.008068	0.090225	0.008076	0.001963	0.000931	0.000457	0.000206	0.000086	0.000036	0.000011	0.000006	0.000004	0.000004	0.000003	0.000002	0.000002	?	?	?	0.005306	0	Pobovata_EKA_6
NON_ZERO_REGIONS	97064637	3.951847	6.127172	2	1	0	0.018183	0	0.000421	0.019772	0.04378	0.008068	0.090225	1	0.243075	0.115327	0.056611	0.025566	0.010617	0.004464	0.001393	0.000785	0.000552	0.000433	0.000363	0.00031	0.000271	3.951847	3.951847	3.951847	0.648909	5	Pobovata_EKA_6
WHOLE_GENOME	12018808399	0.033163	0.722478	0	0	0	0.015749	0	0.000349	0.018829	0.058902	0.017378	0.111207	0.007524	0.001952	0.001019	0.000568	0.000301	0.000147	0.00007	0.00002	0.000009	0.000006	0.000004	0.000003	0.000003	0.000002	?	?	?	0.004992	0	Pobovata_EKA_7
NON_ZERO_REGIONS	90430361	4.407559	7.077683	2	1	0	0.015749	0	0.000349	0.018829	0.058902	0.017378	0.111207	1	0.259378	0.135483	0.075465	0.039941	0.019587	0.00927	0.002611	0.001249	0.000789	0.000549	0.000435	0.000368	0.000319	4.407559	4.407559	4.407559	0.65631	5	Pobovata_EKA_7
WHOLE_GENOME	12018808399	0.022543	0.508794	0	0	0	0.015884	0	0.000362	0.019449	0.055747	0.014438	0.10588	0.006387	0.001447	0.000595	0.000232	0.000081	0.000029	0.000013	0.000005	0.000003	0.000003	0.000002	0.000002	0.000002	0.000001	?	?	?	0.004154	0	Pobovata_EKA_8
NON_ZERO_REGIONS	76765372	3.529513	5.305881	2	1	0	0.015884	0	0.000362	0.019449	0.055747	0.014438	0.10588	1	0.226493	0.09318	0.036304	0.012681	0.004476	0.001961	0.000833	0.000539	0.000405	0.000335	0.000285	0.000249	0.000223	3.529513	3.529513	3.529513	0.642986	4	Pobovata_EKA_8
WHOLE_GENOME	12018808399	0.018797	0.428834	0	0	0	0.016308	0	0.000375	0.019906	0.055735	0.011545	0.103869	0.005888	0.001226	0.000423	0.00013	0.000037	0.000013	0.000007	0.000003	0.000002	0.000002	0.000002	0.000001	0.000001	0.000001	?	?	?	0.003792	0	Pobovata_EKA_9
NON_ZERO_REGIONS	70761110	3.192669	4.593715	1	0	0	0.016308	0	0.000375	0.019906	0.055735	0.011545	0.103869	1	0.208254	0.071783	0.022005	0.006368	0.00225	0.001125	0.000581	0.000403	0.000316	0.000264	0.000228	0.000202	0.000178	3.192669	3.192669	3.192669	0.63642	4	Pobovata_EKA_9
WHOLE_GENOME	12018808399	0.058781	1.224371	0	0	0	0.017768	0	0.000332	0.017664	0.064672	0.024076	0.124512	0.010258	0.002772	0.001682	0.001175	0.000849	0.00061	0.000429	0.000193	0.000079	0.000035	0.000018	0.000012	0.000009	0.000008	?	?	?	0.006819	0	Pobovata_ENI_13
NON_ZERO_REGIONS	123285706	5.730361	10.660286	1	0	0	0.017768	0	0.000332	0.017664	0.064672	0.024076	0.124512	1	0.270283	0.16402	0.114524	0.08273	0.059436	0.041789	0.018778	0.007706	0.003372	0.001797	0.001203	0.000913	0.000744	5.730361	5.730361	5.730361	0.657742	5	Pobovata_ENI_13
WHOLE_GENOME	12018808399	0.038536	0.834589	0	0	0	0.016448	0	0.000329	0.018632	0.061838	0.02088	0.118127	0.008315	0.002103	0.001178	0.000726	0.000438	0.000251	0.000136	0.000038	0.000014	0.000008	0.000005	0.000004	0.000004	0.000003	?	?	?	0.005494	0	Pobovata_ENI_14
NON_ZERO_REGIONS	99935737	4.634575	7.903718	1	0	0	0.016448	0	0.000329	0.018632	0.061838	0.02088	0.118127	1	0.252922	0.141658	0.087302	0.052708	0.030196	0.016387	0.004516	0.00166	0.000933	0.000653	0.00051	0.000425	0.000371	4.634575	4.634575	4.634575	0.653617	5	Pobovata_ENI_14
WHOLE_GENOME	12018808399	0.060849	1.153851	0	0	0	0.018257	0	0.000444	0.021065	0.027513	0.022827	0.090107	0.011379	0.003061	0.001811	0.001216	0.000831	0.00056	0.000365	0.000139	0.000049	0.000021	0.000013	0.000009	0.000007	0.000005	?	?	?	0.007529	0	Pobovata_ENI_15
NON_ZERO_REGIONS	136762793	5.347471	9.419761	2	1	0	0.018257	0	0.000444	0.021065	0.027513	0.022827	0.090107	1	0.268991	0.159154	0.106871	0.073021	0.049213	0.032073	0.012227	0.004324	0.001872	0.001121	0.000775	0.000595	0.000473	5.347471	5.347471	5.347471	0.652765	5	Pobovata_ENI_15
WHOLE_GENOME	12018808399	0.032706	0.715854	0	0	0	0.01704	0	0.000362	0.017984	0.052598	0.028443	0.116428	0.007842	0.001919	0.000988	0.000534	0.000271	0.000127	0.000058	0.000017	0.000009	0.000006	0.000004	0.000004	0.000003	0.000003	?	?	?	0.005151	0	Pobovata_ENI_16
NON_ZERO_REGIONS	94253558	4.170518	6.93457	1	0	0	0.01704	0	0.000362	0.017984	0.052598	0.028443	0.116428	1	0.244665	0.126023	0.068147	0.034558	0.016238	0.007414	0.002113	0.001087	0.000747	0.000568	0.000469	0.000402	0.000355	4.170518	4.170518	4.170518	0.649169	5	Pobovata_ENI_16
