## METRICS CLASS	picard.analysis.CollectWgsMetricsWithNonZeroCoverage$WgsMetricsWithNonZeroCoverage
CATEGORY	GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	FOLD_80_BASE_PENALTY	FOLD_90_BASE_PENALTY	FOLD_95_BASE_PENALTY	HET_SNP_SENSITIVITY	HET_SNP_Q
NON_ZERO_REGIONS	182483006	4.045449	7.006933	2	1	0	0.010229	0	0.000863	0.008753	0.071797	0.001037	0.092679	1	0.190004	0.107166	0.067047	0.041226	0.024737	0.014672	0.005381	0.00221	0.001045	0.000575	0.000373	0.000266	0.00021	4.045449	4.045449	4.045449	0.609358	4	Pdeltoides_UF0016
WHOLE_GENOME	432523942	1.534722	4.196413	0	0	0	0.010832	0	0.001088	0.012441	0.070472	0.001055	0.095888	0.424791	0.074431	0.04109	0.02387	0.01291	0.006425	0.00297	0.000609	0.000201	0.000122	0.000096	0.00008	0.000069	0.00006	?	?	?	0.246923	1	Pdeltoides_UF0018
NON_ZERO_REGIONS	183732443	3.612885	5.826424	2	1	0	0.010832	0	0.001088	0.012441	0.070472	0.001055	0.095888	1	0.175217	0.096731	0.056192	0.030391	0.015125	0.006993	0.001434	0.000474	0.000288	0.000226	0.000188	0.000162	0.00014	3.612885	3.612885	3.612885	0.578402	4	Pdeltoides_UF0018
WHOLE_GENOME	432523942	1.111481	3.361801	0	0	0	0.010579	0	0.001185	0.008095	0.06927	0.001043	0.090172	0.351717	0.061313	0.02771	0.011677	0.004816	0.002238	0.0012	0.000418	0.000193	0.000124	0.000097	0.000083	0.000072	0.000064	?	?	?	0.203766	1	Pdeltoides_UF0022
NON_ZERO_REGIONS	152126047	3.160156	5.065452	1	0	0	0.010579	0	0.001185	0.008095	0.06927	0.001043	0.090172	1	0.174324	0.078786	0.033199	0.013692	0.006362	0.003413	0.001188	0.000547	0.000353	0.000277	0.000236	0.000206	0.000182	3.160156	3.160156	3.160156	0.577275	4	Pdeltoides_UF0022
WHOLE_GENOME	432523942	2.384146	6.261612	1	1	0	0.010247	0	0.000932	0.007249	0.076652	0.001007	0.096086	0.513921	0.10793	0.056016	0.038479	0.026697	0.01818	0.012109	0.005254	0.002423	0.00123	0.000672	0.000383	0.000238	0.000159	?	?	?	0.327609	2	Pdeltoides_UF0023
NON_ZERO_REGIONS	222282957	4.639132	8.11359	2	1	0	0.010247	0	0.000932	0.007249	0.076652	0.001007	0.096086	1	0.210012	0.108997	0.074874	0.051948	0.035375	0.023561	0.010223	0.004714	0.002394	0.001307	0.000746	0.000463	0.000309	4.639132	4.639132	4.639132	0.636151	4	Pdeltoides_UF0023
WHOLE_GENOME	432523942	2.007541	5.354735	0	0	0	0.010943	0	0.001033	0.010156	0.075372	0.00419	0.101693	0.493983	0.095752	0.052624	0.031888	0.018384	0.010186	0.005699	0.002233	0.001263	0.000794	0.000489	0.000306	0.000203	0.000147	?	?	?	0.303052	2	Pdeltoides_UF0024
NON_ZERO_REGIONS	213659517	4.063987	7.048936	2	1	0	0.010943	0	0.001033	0.010156	0.075372	0.00419	0.101693	1	0.193836	0.10653	0.064553	0.037216	0.020619	0.011537	0.004521	0.002557	0.001607	0.00099	0.00062	0.000411	0.000298	4.063987	4.063987	4.063987	0.611331	4	Pdeltoides_UF0024
WHOLE_GENOME	432523942	2.50154	5.20058	1	1	0	0.011004	0	0.000833	0.009676	0.062402	0.00037	0.084285	0.574971	0.126179	0.064356	0.040907	0.024856	0.014055	0.007351	0.001718	0.000388	0.000121	0.00006	0.000041	0.000031	0.000024	?	?	?	0.365783	2	Pdeltoides_UF0025
NON_ZERO_REGIONS	248688606	4.350726	6.244492	2	1	0	0.011004	0	0.000833	0.009676	0.062402	0.00037	0.084285	1	0.219453	0.11193	0.071146	0.043231	0.024445	0.012785	0.002988	0.000675	0.00021	0.000104	0.000071	0.000053	0.000042	4.350726	4.350726	4.350726	0.634428	4	Pdeltoides_UF0025
WHOLE_GENOME	432523942	3.711016	9.979149	1	1	0	0.012776	0	0.00113	0.009909	0.091881	0.006069	0.121764	0.555969	0.223843	0.067736	0.042666	0.033527	0.027271	0.022312	0.014794	0.009483	0.005972	0.003827	0.002608	0.001939	0.001565	?	?	?	0.406993	2	Pdeltoides_UF0026
NON_ZERO_REGIONS	240469770	6.674866	12.622743	4	2	0	0.012776	0	0.00113	0.009909	0.091881	0.006069	0.121764	1	0.402617	0.121834	0.076742	0.060304	0.04905	0.040132	0.02661	0.017056	0.010742	0.006884	0.004691	0.003488	0.002814	3.337433	6.674866	6.674866	0.730822	6	Pdeltoides_UF0026
WHOLE_GENOME	432523942	2.345894	6.369385	0	0	0	0.011037	0	0.000995	0.006284	0.073916	0.001292	0.093525	0.484439	0.103581	0.052356	0.038076	0.028295	0.020742	0.014761	0.006672	0.002627	0.001002	0.000407	0.000202	0.000127	0.000094	?	?	?	0.313975	2	Pdeltoides_UF0027
NON_ZERO_REGIONS	209531566	4.842493	8.464905	2	1	0	0.011037	0	0.000995	0.006284	0.073916	0.001292	0.093525	1	0.213816	0.108076	0.078599	0.058407	0.042817	0.030471	0.013772	0.005422	0.002068	0.000839	0.000416	0.000262	0.000194	4.842493	4.842493	4.842493	0.64692	5	Pdeltoides_UF0027
WHOLE_GENOME	432523942	2.056729	4.61688	1	1	0	0.010903	0	0.000899	0.009847	0.07043	0.000503	0.092582	0.524949	0.102348	0.053733	0.03193	0.017458	0.008748	0.004074	0.000823	0.000229	0.000111	0.000078	0.000062	0.000052	0.000045	?	?	?	0.325251	2	Pdeltoides_UF0028
NON_ZERO_REGIONS	227052866	3.917963	5.771727	2	1	0	0.010903	0	0.000899	0.009847	0.07043	0.000503	0.092582	1	0.194967	0.102359	0.060826	0.033256	0.016665	0.00776	0.001568	0.000436	0.000212	0.000149	0.000118	0.0001	0.000086	3.917963	3.917963	3.917963	0.61764	4	Pdeltoides_UF0028
WHOLE_GENOME	432523942	3.408859	10.183554	0	0	0	0.00756	0	0.000518	0.007682	0.065907	0.000221	0.081889	0.458964	0.120386	0.086779	0.068437	0.054924	0.044234	0.035468	0.022059	0.012935	0.007219	0.003896	0.002074	0.001112	0.000616	?	?	?	0.294436	2	Pdeltoides_UF0029
NON_ZERO_REGIONS	198512722	7.427298	14.003862	2	1	0	0.00756	0	0.000518	0.007682	0.065907	0.000221	0.081889	1	0.2623	0.189076	0.149112	0.11967	0.096377	0.077278	0.048062	0.028182	0.015728	0.008489	0.004519	0.002422	0.001341	7.427298	7.427298	7.427298	0.63973	4	Pdeltoides_UF0029
WHOLE_GENOME	432523942	2.194407	6.208912	0	0	0	0.008804	0	0.000695	0.007875	0.068316	0.000139	0.08583	0.430249	0.096853	0.064446	0.045971	0.032285	0.021886	0.014128	0.005125	0.001608	0.00051	0.0002	0.000103	0.000068	0.00005	?	?	?	0.265109	1	Pdeltoides_UF0030
