## METRICS CLASS	picard.analysis.CollectWgsMetricsWithNonZeroCoverage$WgsMetricsWithNonZeroCoverage
CATEGORY	GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	FOLD_80_BASE_PENALTY	FOLD_90_BASE_PENALTY	FOLD_95_BASE_PENALTY	HET_SNP_SENSITIVITY	HET_SNP_Q
WHOLE_GENOME	119482896	46.279417	21.478015	49	7	0	0.014637	0	0.002216	0.018138	0.001124	0.041748	0.077862	0.931505	0.919104	0.91161	0.905912	0.900523	0.894192	0.883799	0.790035	0.459369	0.132254	0.032982	0.018606	0.013811	0.01013	1.186652	2.313971	?	0.925383	11	Athaliana_SWE_1166
NON_ZERO_REGIONS	111298877	49.68243	18.059783	49	6	0	0.014637	0	0.002216	0.018138	0.001124	0.041748	0.077862	1	0.986688	0.978642	0.972525	0.96674	0.959944	0.948787	0.848127	0.493147	0.141979	0.035407	0.019974	0.014827	0.010875	1.211767	1.380068	1.713187	0.993222	22	Athaliana_SWE_1166
WHOLE_GENOME	119482896	17.099104	13.378476	17	5	0	0.016173	0	0.002806	0.023591	0.000758	0.029568	0.072895	0.921004	0.886551	0.828508	0.670254	0.371676	0.127144	0.035823	0.010389	0.006026	0.004393	0.003579	0.003115	0.002807	0.002594	1.554464	5.699701	?	0.902249	10	Athaliana_SWE_1254
NON_ZERO_REGIONS	110044215	18.565724	12.926968	18	4	0	0.016173	0	0.002806	0.023591	0.000758	0.029568	0.072895	1	0.962592	0.899571	0.727743	0.403556	0.138049	0.038896	0.01128	0.006543	0.00477	0.003886	0.003382	0.003048	0.002816	1.428133	2.062858	3.094287	0.97898	17	Athaliana_SWE_1254
WHOLE_GENOME	119482896	23.424545	16.790115	23	8	0	0.018512	0	0.004767	0.114946	0.002289	0.027789	0.168303	0.926996	0.893928	0.841424	0.751943	0.619709	0.459817	0.301718	0.08664	0.019716	0.008936	0.006239	0.004816	0.003981	0.003457	1.952045	5.856136	?	0.908387	10	Athaliana_SWE_1257
NON_ZERO_REGIONS	110760194	25.269299	16.046602	24	8	0	0.018512	0	0.004767	0.114946	0.002289	0.027789	0.168303	1	0.964328	0.907689	0.811161	0.668513	0.496029	0.325479	0.093463	0.021269	0.009639	0.006731	0.005196	0.004295	0.003729	1.68462	2.52693	4.21155	0.977871	17	Athaliana_SWE_1257
WHOLE_GENOME	119482896	20.174763	14.252267	20	4	0	0.018934	0	0.002619	0.009402	0.002404	0.047016	0.080376	0.928932	0.911208	0.894961	0.822526	0.564791	0.234641	0.066111	0.014413	0.008013	0.005603	0.004383	0.003712	0.003287	0.003035	1.344984	2.521845	?	0.919869	11	Athaliana_SWE_1313
NON_ZERO_REGIONS	110991432	21.718245	13.606828	21	4	0	0.018934	0	0.002619	0.009402	0.002404	0.047016	0.080376	1	0.98092	0.963431	0.885454	0.608	0.252592	0.071169	0.015516	0.008626	0.006031	0.004718	0.003996	0.003538	0.003268	1.277544	1.551303	1.974386	0.99013	20	Athaliana_SWE_1313
WHOLE_GENOME	119482896	37.895032	19.382766	39	6	0	0.016549	0	0.002253	0.013243	0.002941	0.043608	0.078593	0.933113	0.919391	0.911486	0.905097	0.897865	0.883169	0.835048	0.486091	0.112848	0.028075	0.017993	0.012774	0.009218	0.007238	1.22242	2.10528	?	0.926474	11	Athaliana_SWE_1317
NON_ZERO_REGIONS	111491082	40.611394	17.096972	40	5	0	0.016549	0	0.002253	0.013243	0.002941	0.043608	0.078593	1	0.985294	0.976822	0.969975	0.962225	0.946476	0.894905	0.520934	0.120937	0.030088	0.019282	0.013689	0.009879	0.007757	1.230648	1.400393	1.692141	0.992675	21	Athaliana_SWE_1317
