pop	prec_clim_change	tmax_clim_change
-119.99_38.39	0.0453592630016873	0.0814705209253608
-120.67_39.38	0.0149729606024987	0.085287182981744
-120.89_46.98	0.0597450486785979	0.0168812840669545
-121.53_50	0.0336157644899236	0.0297991274736004
-121.54_48.29	0.0358176704608793	0.0374324015062468
-121.5_47.33	0.050643837331981	0.0282578015903369
-121.73_46.28	0.0546072680797013	0.02289982882126
-121.75_47.16	0.0493226937494076	0.0286247776224241
-121.84_45.07	0.0606258110669802	0.0256155211700665
-122.17_47.67	0.0415426259853641	0.0371388249472999
-122.32_43.04	0.0273036420561177	0.0375791952376439
-122.48_49.28	0.0199639474699983	0.0485887250924224
-122.51_44.56	0.0497630749435987	0.0415426381821576
-122.53_42.19	0.00968838627220506	0.0490291062866135
-122.5_50.53	0.0170280728420574	0.0331753832957325
-122.73_50.32	0.0082204489582346	0.0365516391178646
-122.78_39.86	0.00851403892072487	0.0778006776404346
-122.94_43.31	0.0366984328492616	0.0326616244145547
-122.96_41.53	0.0137986148025541	0.0485887250924224
-123.01_45.72	0.0431573570307317	0.0381663813687667
-123.33_43.7	0.0553412367366865	0.0361846760367988
-123.54_40.79	0.0208447159783264	0.0705344086449707
-123.88_47.22	0.0337625582213207	0.048955723794168
-123.8_45.16	0.0403682761341878	0.0576899364390393
-123.97_48.95	0.00249549343374979	0.0450656755388933
-124.08_43.08	0.0249549343374979	0.0569559845041595
-124.15_42.29	0.00499098686749958	0.0625341295751418
-124.25_50	0.0104223549291903	0.0399278949399966
-124.37_48.87	0.00425701821051435	0.0419096349229455
-124_44.24	0.0541668868855101	0.0612129859925684
-125.25_49.33	0.00939479880941097	0.0469740216299214
-125.33_50	0.0165876916478662	0.0361112579236734
-125.75_52.28	0.06312130450073	0.0436711479123388
-126.63_49.78	0.0262760779200713	0.0455060700935295
-126.68_51.63	0.0717821346531557	0.0468272278123279
-126.88_50.33	0.038019576431835	0.0430839728143577
-127.5_50.45	0.0488823125552165	0.0475611689726431
-127.83_53.5	0.0427169758365405	0.0532861401417781
