pop	prec_clim_change	tmax_clim_change
-108.19_39.57	0.105397899143079	0.064148879454427
-110.16_49.66	0.0896909698835954	0.0199639474699983
-110.25_49.66	0.0920396695859481	0.0184960101560279
-110.32_49.61	0.0957095128708743	0.0214318847839688
-110.3_49.64	0.0920396695859481	0.0201107412013954
-113.45_55.63	0.0544605223166541	0.0435977382249228
-113.53_49.04	0.0797089961485962	0.0146793731397046
-113.97_55.52	0.0640021232616205	0.0443317198975674
-114.08_49.91	0.0457996441958785	0.0167344853792633
-114.33_49.39	0.0549008555424954	0.0167344853792633
-114.44_49.73	0.0462400253900696	0.0183492164246308
-114.48_50.15	0.006312130450073	0.0205511284293359
-114.58_51.33	0.0469739940470549	0.0248081406061008
-114.62_51.13	0.0449188818074962	0.0227530283665422
-114.62_51.57	0.0471207877784519	0.0296523337422034
-114.63_49.63	0.0416894197167612	0.0201107412013954
-114.73_49.57	0.0416894197167612	0.0180556289618367
-114.73_51.46	0.0488823125552165	0.0277440152340418
-114.77_51.03	0.0450656755388933	0.020330937767593
-114.78_49.43	0.0463868191214667	0.0162941041850722
-114.7_50.89	0.0308266835933798	0.0195235662758072
-114.9_49.29	0.0389003388202173	0.0173216603048515
-114.9_50.96	0.0640020668891123	0.0216520817380503
-114_49.86	0.0526989495715397	0.0173216603048515
-115.06_52.27	0.0772135027148464	0.0295055400108063
-115.08_50.66	0.0581303176332304	0.0192299844588786
-115.17_51.48	0.0832320457021253	0.0330285895643355
-115.17_55.01	0.0528457433029367	0.0399279183854332
-115.1_52.65	0.0428637695679376	0.0302395086677916
-115.21_51.7	0.0935076068999186	0.0337625582213207
-115.21_51.95	0.0867550952556544	0.0336891811377092
-115.28_49.05	0.0101287674663962	0.0171748665734544
-115.28_49.61	0.0022019059709557	0.0220190661742885
-115.41_54.71	0.0434509444935257	0.0433041507621287
-115.41_58.75	0.00807366707886617	0.0638552731577152
-115.43_52.17	0.0990857686930064	0.0336891712466613
-115.48_52.07	0.105985074068668	0.0306065109682456
-115.51_52.5	0.0830852519707283	0.031707445981762
-115.52_49.43	0.0120370859745578	0.0239273852427268
-115.56_54.4	0.0236337907549245	0.0374324015062468
-115.5_53.08	0.0381663701632321	0.0331753832957325
-115.66_52.16	0.109067742428006	0.0295789455607942
-115.68_49.38	0.006312130450073	0.028624786026575
-115.68_50.48	0.0761859465950671	0.0170280728420574
-115.71_57.68	0.00176153201730528	0.0544604903377401
-115.78_56.92	0.0252485440389879	0.0585706988274215
-115.7_49.25	0.00234869970235274	0.0289183650852181
-115.83_49.58	0.0311202710561738	0.0268632528456595
-115.83_53.68	0.00895441761521983	0.0337625582213207
-115.85_50.06	0.0553412367366865	0.0245145531433068
-115.8_50	0.0641488606205093	0.0224594409037481
-115.91_52.96	0.0638552731577152	0.031707445981762
-115.93_49.1	0.00645892418147004	0.025395315531689
-115.93_52.04	0.135343820348077	0.0280376026968359
-115.95_49.4	0.00322946209073502	0.0293587462794093
-115.98_52.07	0.137545726319033	0.0295055400108063
-115.9_54.73	0.0421298009109523	0.0462400253900696
-116.01_49.61	0.0136518170199253	0.0289183650852181
-116.02_52.5	0.105544692874476	0.0300927149363945
-116.03_49.05	0.012624260900146	0.0234869970235274
-116.03_53.05	0.0598918424099949	0.0337625582213207
-116.06_54.03	0.00455060567330844	0.0387535450888203
-116.08_52.63	0.0911589071975658	0.028477983891027
-116.16_53.5	0.0353772892666882	0.0334689707585266
-116.18_54.36	0.0171748665734544	0.041102244791173
-116.1_56.87	0.0320010616308103	0.0588642862902156
-116.26_49.31	0.00895441761521983	0.0293587462794093
-116.44_54.83	0.0384599576260262	0.0452124692702903
-116.4_52.95	0.0776538839090376	0.031707445981762
-116.53_57.76	0.019376795300295	0.0524053621087456
-116.56_52.1	0.164702566627486	0.0292119525480122
-116.56_55.91	0.0500569857321541	0.0466804065842608
-116.58_53.73	0.031707445981762	0.0424233883737464
-116.5_50.83	0.0769199152520523	0.0198171537386013
-116.66_49.36	0.0201107412013954	0.029799136222537
