pop	prec_clim_change	tmax_clim_change
-0.1_42.8833333	0.0741308343555085	0.114866128542538
-0.583333_45.033333	0.0551944430052895	0.129178559482284
-16.566667_28.316667	0.0358257915420686	0.092627170852763
-17.866667_28.666667	0.0417017875033153	0.113692312423592
-5.58_36.15	0.0366984436238141	0.127563827488755
-58.5_-34.6666667	0.129031689898004	0.0335423774721661
-6.333333_39.433333	0.0496162812122017	0.0910856440442992
-6.883333_37.933333	0.032368027276204	0.110168792449189
-9.3833333_38.7833333	0.0171748665734544	0.169767448793458
0.353967_44.56205	0.0778006776404346	0.119710358247503
10.833333_45.883333	0.0562219991250688	0.078975027491611
11.033333_43.466667	0.124040703030504	0.0940947818255068
13.951083_41.289667	0.109214536159403	0.0873422701812426
14.37_40.62	0.0576899364390393	0.101434527957111
15.1951167_40.723	0.0644424480833034	0.0845532141092677
15.3369_37.989117	0.0371388140434528	0.104517167440623
16.051867_38.1605	0.0468272003156578	0.0869019145011918
16_41.8333333	0.0463868191214667	0.120224277799251
19.8_39.666667	0.000146793731397046	0.050497043600584
20.5692179_38.1753675	0.0118902922431608	0.0424968975322266
20.85_39.666667	0.0183492164246308	0.0347167378608638
21.4243167_38.4379	0.0121838832831063	0.0303129233330586
21.62535_37.69185	0.0023487003919241	0.0212851160495665
21.687317_37.7295	0.00146793774495256	0.0217254977609369
22.171933_38.090667	0.01144991441063	0.0185694233775115
24.233333_35.183333	0.0175474776634004	0.0286984778179997
24.42_35.29	0.0116706019189344	0.0269366813454859
28.96_41.02	0.0999665310813886	0.0884432751000863
3.983334_47.366667	0.038019576431835	0.11882956045391
3_39.5	0.0431573570307317	0.0974710662648502
4.3_46.95	0.0480015501668342	0.110609109082176
4.933333_47.1	0.0320010334445561	0.104076755560506
5.016667_47.316667	0.0308266835933798	0.104223549291903
8.983333_41.6	0.000880762388382279	0.116260635266461
9.166667_41.383333	0.000440381194191139	0.120517653476975
