pop	prec_clim_change	tmax_clim_change
-79.89_43.02	0.239860957102774	0.0597450486785979
-81.43_42.82	0.265990241291448	0.0565155865878629
-81.47_42.76	0.26041207949836	0.0556348241994806
-82.48_42.57	0.24602629382145	0.0615065734553625
-82.49_42.57	0.24602629382145	0.0615065734553625
-82.49_42.62	0.244411562776082	0.0609193985297743
-82.51_42.56	0.242356450536524	0.0607726047983772
-82.74_42.16	0.24749423113542	0.060038636141392
-82.75_42.16	0.24749423113542	0.060038636141392
-82.76_42.17	0.244411562776082	0.0588642862902156
-88.7_38.85	0.153986624235502	0.0433041507621287
-88.88_37.29	0.153986624235502	0.0419830071795553
-89.39_37.4	0.141802744529547	0.0362580623003283
-89.69_38.14	0.163087835582119	0.0452124692702903
-89.81_38.7	0.13769252005043	0.0471208016129773
-90.01_39.76	0.0958563066022713	0.0556348241994806
-90.69_40.23	0.10187484958955	0.0546806970535803
-94.8_39.23	0.0654700042030827	0.0612129859925684
