Taxon_name,Pop_ID,Sample_name,Country,Pool_Size,Lat,Long,Alt,Author,Data_type,,
Arabidopsis thaliana,,Athaliana_IBE_9568,ESP,,42.76,-0.23,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9569,ESP,,42.87,-6.45,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9571,ESP,,43.28,-6.01,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9573,ESP,,41.86,2.99,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9576,ESP,,40.86,-4.11,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9577,ESP,,42.34,2.17,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9578,ESP,,42.13,-6.7,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9579,ESP,,38.33,-3.51,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9581,ESP,,42.84,-5.12,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9582,ESP,,41.48,-1.63,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9584,ESP,,41.19,-3.58,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9585,ESP,,43.4,-7.39,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9586,ESP,,41.03,-3.27,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9587,ESP,,41.5,-1.88,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9588,ESP,,42.11,0.6,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9589,ESP,,41.6,-2.83,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9590,ESP,,43.37,-5.49,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9591,ESP,,42.86,-3.59,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9592,ESP,,42.1,-5.44,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9593,ESP,,42.26,-2.99,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9594,ESP,,42.04,1.01,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9595,ESP,,40.89,-5.5,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9596,ESP,,41.95,-7.45,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9597,ESP,,42.31,-2.53,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9599,ESP,,42.8,-5.77,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9601,ESP,,41.85,-1.88,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9602,ESP,,40.5,-3.96,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9817,ESP,,39.84,-6.6,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9819,ESP,,42.35,-3.03,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9820,ESP,,41,-4.71,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9821,ESP,,41.81,2.49,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9822,ESP,,40.52,-4.02,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9823,ESP,,43.34,-5.84,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9824,ESP,,42.91,-4.91,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9825,ESP,,40.4,-3.88,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9826,ESP,,42.49,-6.71,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9827,ESP,,42.78,0.69,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9828,ESP,,42.5,-6.15,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9830,ESP,,36.97,-3.28,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9831,ESP,,38.54,-3.39,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9833,ESP,,40.38,-4.21,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9834,ESP,,40.51,-3.9,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9835,ESP,,40.61,-6.57,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9836,ESP,,41.25,-1.32,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9838,ESP,,41.83,-5.38,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9839,ESP,,40.44,-4.27,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9840,ESP,,41.13,-1.43,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9841,ESP,,40.59,-4.15,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9843,ESP,,40.53,-3.92,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9844,ESP,,42.27,0.19,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9845,ESP,,40.48,-3.96,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9846,ESP,,42.31,-3.02,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9847,ESP,,43.31,-5.7,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9848,ESP,,40.11,-5.77,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9849,ESP,,40.65,-4.11,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9850,ESP,,42.86,-0.7,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9851,ESP,,42.96,-6.1,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9852,ESP,,40.46,-3.75,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9853,ESP,,43.33,-5.91,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9854,ESP,,43.36,-5.88,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9855,ESP,,40.57,-3.89,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9856,ESP,,40.51,-4,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9857,ESP,,40.33,-3.8,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9858,ESP,,40.98,-3.8,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9859,ESP,,40.5,-3.88,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9860,ESP,,42.24,-2.62,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9861,ESP,,40.72,-3.21,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9862,ESP,,40.45,-3.67,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9864,ESP,,41.76,2.69,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9866,ESP,,41.89,-2.79,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9867,ESP,,40.94,-3.22,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9868,ESP,,41.78,2.37,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9870,ESP,,41.91,0.17,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9873,ESP,,37.94,-5.45,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9874,ESP,,42.34,-3,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9875,ESP,,43.38,-5.87,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9876,ESP,,41.34,0.99,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9877,ESP,,43.02,-5.6,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9878,ESP,,40.78,-3.62,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9880,ESP,,42.72,-3.44,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9881,ESP,,40.46,-5.32,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9882,ESP,,40.46,-4.26,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9883,ESP,,42.1,-2.56,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9885,ESP,,41.14,-3.68,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9886,ESP,,42.38,1.73,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9888,ESP,,40.93,-3.31,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9890,ESP,,43.16,-5.07,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9891,ESP,,41.93,2.92,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9892,ESP,,42.68,-6.96,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9894,ESP,,42.59,0.76,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9895,ESP,,41.78,2.57,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9897,ESP,,40.95,-5.63,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9898,ESP,,41.14,-3.58,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9899,ESP,,42.54,0.84,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9900,ESP,,37.38,-6.01,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9901,ESP,,42.27,-2.98,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9902,ESP,,40.71,-3.24,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9903,ESP,,42.31,-3.1,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9904,ESP,,40.95,-3.31,,Weigel,WGS,,
Arabidopsis thaliana,,Athaliana_IBE_9906,ESP,,40,4.25,,Weigel,WGS,,
