Orthogroup,At Genes,Tau Min,Tau Z,At Node Betweenness Max,At Node Betweenness Z,At Node Strength Max,At Node Strength Z,At Node Degree Max,At Node Degree Z,At Node Closeness Max,At Node Closeness Z
OG0010292,IBR5,0.317594957,2.631952829,17123.63333,-0.564674764,1847.1596,0.104786319,624,0.204215183,9.86E-06,0.26674538
OG0010293,AT2G04340,0.42969808,1.398345979,14386.33333,-0.74811454,995.4471,-0.529011214,356,-0.443439541,9.48E-06,-0.365224004
OG0010294,AT2G04305,0.556195887,0.549424299,32167.5,0.49847891,2555.9224,0.630845303,820,0.72973742,1.01E-05,1.003492106
OG0010296,AT2G04235,0.804174397,-0.681649762,17321.83333,-0.550113351,1751.9494,0.043797899,500,-0.079136787,9.31E-06,-0.561824192
OG0010297,AT3G25410,0.59289923,0.333093389,29992.06667,0.349343246,2124.7138,0.314323819,662,0.293625415,9.81E-06,0.175731853
OG0010299,AT3G23700,0.717883479,-0.301080149,20694.33333,-0.314323819,2554.7474,0.63047435,726,0.468404444,9.52E-06,-0.305073034
OG0010300,FIB4,0.679078144,-0.113887808,33029.93333,0.562180263,1473.6362,-0.174496842,467,-0.160928847,9.44E-06,-0.415099728
OG0010302,AT3G22845,0.50590165,0.855261212,39452,0.961129334,3365.3481,1.220000137,1039,1.448414317,1.02E-05,1.50920279
OG0010304,AT3G20260,0.885750361,-0.994923214,27259.83333,0.158465191,1788.0924,0.068770567,540,0.009121772,9.45E-06,-0.400231617
OG0010305,AT2G05830,0.532973297,0.6838886,88970,2.718885978,1457.9848,-0.189025565,501,-0.076087066,9.98E-06,0.61791298
OG0010306,HCF101,0.66540844,-0.051893729,8611.666667,-1.166107259,2970.5767,0.929753385,758,0.557201717,9.22E-06,-0.65627868
OG0010307,AT2G06000,0.647943723,0.031777844,32678.66667,0.539180591,2786.3711,0.804839718,867,0.870038296,1.00E-05,0.823475316
OG0010308,ABH1,0.536415745,0.668287633,27429.63333,0.172027617,3822.6986,1.604131343,1150,1.943825104,1.00E-05,0.812006386
OG0010309,SLO2,0.676994434,-0.104670603,11024.83333,-0.975708131,1974.3548,0.206078308,457,-0.184693825,9.17E-06,-0.696410545
OG0010310,AT2G14910,0.703454878,-0.229428934,20657.66667,-0.316241112,1702.4189,-0.00060811,531,-0.008513639,9.89E-06,0.35322412
OG0010313,AT2G16860,0.466802245,1.112855381,32738.00238,0.545873583,4285.0675,2.073903148,1198,2.209048379,1.02E-05,2.260747995
OG0010314,AT2G17020,0.377705628,1.883277466,21508.63333,-0.259191321,1703.8524,0.002128386,574,0.091648652,9.92E-06,0.430727299
OG0010317,EXL5,0.690608673,-0.169722781,5987.166667,-1.405495967,1365.5802,-0.263281239,364,-0.42240191,9.21E-06,-0.661946012
OG0010318,AT2G17975,0.495782953,0.915176375,33939.73333,0.620859764,3210.0764,1.101354596,982,1.214896344,1.02E-05,1.649813547
OG0010319,MSRA5,0.448538353,1.251949204,32147.9,0.497102271,3074.9503,1.003995292,973,1.185530254,1.01E-05,1.300724592
OG0010320,PIN1AT,0.427215903,1.419072623,20718.73333,-0.312407682,2902.0715,0.878504378,887,0.923680676,1.00E-05,0.868263902
OG0010321,AT2G18940,0.575420875,0.438523337,56436.66667,1.836863929,2091.7024,0.28981815,662,0.293625415,1.00E-05,0.744499277
OG0010322,AT2G19870,0.510488817,0.819587395,23715.06667,-0.091648652,3431.5027,1.28113697,990,1.242712492,9.68E-06,-0.060543885
OG0010323,AT2G20050,0.58563399,0.375898844,37587.83333,0.848922697,1549.4763,-0.107844101,528,-0.014899239,9.99E-06,0.639401362
OG0010324,AT2G20270/GrxC5,0.463695887,0.717895697,22018.73333,-0.928816893,2706.1379,0.243500547,780,0.103563482,9.64E-06,-0.778221198
OG0010325,AT2G20635,0.751978254,-0.445693183,5457.5,-1.474058677,1586.9323,-0.08035688,379,-0.389384479,8.80E-06,-0.984062242
OG0010326,ZCW7,0.546795927,0.607781872,27565,0.181601851,2065.1118,0.269266765,697,0.383814469,9.87E-06,0.286331846
OG0010328,FAP3,0.950286452,-1.319487312,49276.16667,1.505415174,1362.3787,-0.265170376,432,-0.245380202,9.59E-06,-0.205146657
OG0010329,AT1G53250,0.815588745,-0.724796605,23526.33333,-0.108149934,1474.7743,-0.173262098,475,-0.141859881,9.56E-06,-0.250083149
OG0010330,AT1G53200,0.698278705,-0.206426254,38022.23333,0.876716825,4136.0552,1.908835176,1165,2.026654883,9.94E-06,0.487149552
OG0010331,DRP5A,0.779996832,-0.584131003,3377,-1.725568689,2484.9308,0.577919044,454,-0.193051071,8.77E-06,-1.002989175
OG0010332,AT1G53120,0.415712933,1.510637664,22870.56667,-0.152310224,2115.0932,0.307622334,692,0.369452606,9.77E-06,0.093175432
OG0010334,AT1G51610,0.594823429,0.323423878,20903.16667,-0.299026348,1591.7429,-0.076087066,487,-0.110291051,9.88E-06,0.314643288
OG0010335,MLH3,0.860982351,-0.897350542,NA,NA,NA,NA,NA,NA,NA,NA
OG0010336,TAF15,0.619474969,0.194364078,58469.15,1.931897573,2967.7092,0.926012292,886,0.921818993,1.01E-05,1.134293348
OG0010337,SIRB,0.475262019,1.051289146,17381.56667,-0.546226521,1585.138,-0.082187244,524,-0.024326788,9.76E-06,0.074257575
OG0010338,AT1G50120,0.565519941,0.493548884,32056.16667,0.490918989,3043.9613,0.984062242,948,1.10358787,1.01E-05,1.456270682
OG0010339,AT1G49980,0.522558923,0.747663147,26099,0.078221795,718.2185,-0.806522264,266,-0.698349327,9.50E-06,-0.332907286
OG0010340,AT1G49245,0.527563582,0.709887589,19466.33333,-0.404847624,1659.7881,-0.026760021,511,-0.052321298,9.75E-06,0.057498035
OG0010342,AT1G48550,0.62844248,0.136229143,26821.6,0.126213003,2548.7091,0.625290081,818,0.722218556,9.99E-06,0.665356632
OG0010343,CHR18,0.426305067,1.425574246,17452.33333,-0.539883975,1104.7856,-0.448813457,384,-0.376297445,9.46E-06,-0.38872856
OG0010346,AT4G15030,0.608448773,0.252858818,34381.9,0.648379622,3359.1603,1.211089168,936,1.067954582,1.01E-05,1.064733372
OG0010348,AT4G14200,0.79215368,-0.637923976,39117.96667,0.942002872,1762.419,0.051712365,560,0.058716309,9.50E-06,-0.331622043
OG0010350,AT4G13650,0.681558442,-0.123710334,20270,-0.346758921,1928.4285,0.170793398,537,0.000304055,9.49E-06,-0.345144894
OG0010352,AT4G12740,0.896203102,-1.032471704,NA,NA,NA,NA,NA,NA,NA,NA
OG0010354,MIS12,0.714309764,-0.283805593,23859.56667,-0.080661922,961.6565,-0.555781814,341,-0.476563508,9.61E-06,-0.181910969
OG0010355,AT4G29890,0.552467532,0.570166127,24820.13333,-0.010946194,1700.0917,-0.002736497,564,0.06938013,9.85E-06,0.256676605
OG0010358,AT2G30320,0.463008658,1.141870527,25006.7,0.000912165,1811.267,0.081272028,586,0.116105233,9.57E-06,-0.236303106
OG0010360,AT2G30105,0.378220298,1.879806765,32382,0.519940152,2752.6853,0.781518132,892,0.940109157,1.01E-05,1.312145251
OG0010361,JOSL,0.425502928,1.442934127,15340,-0.674871515,1373.6338,-0.25636238,484,-0.117023616,9.77E-06,0.091648652
OG0010363,AT5G43190,0.47984127,1.020956422,17321.08333,-0.550820939,1030.5728,-0.502959535,351,-0.457236295,9.59E-06,-0.205767738
OG0010365,AT2G33640,0.775894281,-0.56287901,24339.33333,-0.046232804,1006.59,-0.520984618,346,-0.467725935,9.24E-06,-0.635303532
OG0010367,MBAC1,0.513892168,0.796238932,14363.56667,-0.750933185,1271.8944,-0.330658471,436,-0.236615781,9.71E-06,-0.006385195
OG0010368,AT2G34050,0.580568458,0.406529944,27849.46667,0.206078308,2612.2815,0.671820141,836,0.786479527,9.95E-06,0.533212539
